node:116 rate:1.000 new_rtt6.305 c:1.725 rttpred:3259.659 rtttarget:5176.000 rttmin4176.000 e:-1.916 eold:3.728 eavg:3.088 tim:8
node:116 rate:1.725 new_rtt6.177 c:0.882 rttpred:4737.635 rtttarget:5176.000 rttmin4176.000 e:-0.438 eold:-1.916 eavg:1.373 tim:9
node:116 rate:1.000 new_rtt21.078 c:-2.127 rttpred:29520.968 rtttarget:13264.000 rttmin12264.000 e:16.257 eold:3.062 eavg:18.143 tim:21
node:116 rate:2.862 new_rtt12.376 c:1.085 rttpred:12360.935 rtttarget:13264.000 rttmin12264.000 e:-0.903 eold:-1.264 eavg:-3.109 tim:11
node:116 rate:1.522 new_rtt4.422 c:1.328 rttpred:3519.128 rtttarget:5176.000 rttmin4176.000 e:-1.657 eold:-0.438 eavg:-4.012 tim:10
node:116 rate:2.021 new_rtt4.476 c:1.014 rttpred:4419.180 rtttarget:5176.000 rttmin4176.000 e:-0.757 eold:-1.657 eavg:-2.852 tim:11
node:116 rate:3.106 new_rtt13.835 c:0.409 rttpred:15750.911 rtttarget:13264.000 rttmin12264.000 e:2.487 eold:-0.903 eavg:0.320 tim:12
node:116 rate:1.000 new_rtt13.080 c:4.468 rttpred:3572.543 rtttarget:13264.000 rttmin12264.000 e:-9.691 eold:16.257 eavg:9.627 tim:22
node:116 rate:2.050 new_rtt4.599 c:1.043 rttpred:4724.966 rtttarget:5176.000 rttmin4176.000 e:-0.451 eold:-0.757 eavg:-2.865 tim:12
node:116 rate:2.138 new_rtt4.579 c:1.099 rttpred:4546.385 rtttarget:5176.000 rttmin4176.000 e:-0.630 eold:-0.451 eavg:-1.837 tim:13
node:116 rate:1.271 new_rtt14.397 c:1.052 rttpred:14123.731 rtttarget:13264.000 rttmin12264.000 e:0.860 eold:2.487 eavg:2.444 tim:13
node:116 rate:3.000 new_rtt13.671 c:-0.095 rttpred:13551.614 rtttarget:13264.000 rttmin12264.000 e:0.288 eold:-9.691 eavg:6.853 tim:23
node:116 rate:2.350 new_rtt4.859 c:0.933 rttpred:5245.407 rtttarget:5176.000 rttmin4176.000 e:0.069 eold:-0.630 eavg:-1.011 tim:14
node:116 rate:2.193 new_rtt5.320 c:0.842 rttpred:5987.440 rtttarget:5176.000 rttmin4176.000 e:0.811 eold:0.069 eavg:0.251 tim:15
node:116 rate:1.337 new_rtt12.273 c:1.849 rttpred:9472.661 rtttarget:13264.000 rttmin12264.000 e:-3.791 eold:0.860 eavg:-0.445 tim:14
node:116 rate:1.847 new_rtt6.179 c:0.662 rttpred:7132.084 rtttarget:5176.000 rttmin4176.000 e:1.956 eold:0.811 eavg:2.837 tim:16
node:116 rate:1.000 new_rtt22.314 c:-3.491 rttpred:35232.870 rtttarget:13264.000 rttmin12264.000 e:21.969 eold:0.288 eavg:12.565 tim:24
node:116 rate:1.222 new_rtt6.621 c:1.026 rttpred:5852.331 rtttarget:5176.000 rttmin4176.000 e:0.676 eold:1.956 eavg:3.444 tim:17
node:116 rate:2.472 new_rtt12.397 c:0.829 rttpred:12410.820 rtttarget:13264.000 rttmin12264.000 e:-0.853 eold:-3.791 eavg:-3.785 tim:15
node:116 rate:1.254 new_rtt5.264 c:1.305 rttpred:3919.287 rtttarget:5176.000 rttmin4176.000 e:-1.257 eold:0.676 eavg:1.376 tim:18
node:116 rate:1.636 new_rtt4.420 c:1.135 rttpred:3963.487 rtttarget:5176.000 rttmin4176.000 e:-1.213 eold:-1.257 eavg:-1.793 tim:19
node:116 rate:2.050 new_rtt12.279 c:1.210 rttpred:12076.606 rtttarget:13264.000 rttmin12264.000 e:-1.187 eold:-0.853 eavg:-5.832 tim:16
