node:96 rate:1.000 new_rtt12.132 c:0.818 rttpred:11827.345 rtttarget:10918.800 rttmin12132.000 e:0.909 eold:0.000 eavg:0.000 tim:1
node:96 rate:1.000 new_rtt12.264 c:0.781 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.094 eold:0.000 eavg:0.000 tim:1
node:96 rate:1.000 new_rtt12.264 c:0.891 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.094 eold:1.094 eavg:0.000 tim:2
node:96 rate:1.000 new_rtt12.279 c:0.851 rttpred:12165.894 rtttarget:11037.600 rttmin12264.000 e:1.128 eold:1.094 eavg:3.315 tim:3
node:96 rate:1.000 new_rtt12.264 c:1.333 rttpred:12107.963 rtttarget:13264.000 rttmin12264.000 e:-1.156 eold:1.128 eavg:1.066 tim:4
node:96 rate:1.333 new_rtt12.341 c:1.085 rttpred:12309.537 rtttarget:13264.000 rttmin12264.000 e:-0.954 eold:-1.156 eavg:-0.982 tim:5
node:96 rate:1.447 new_rtt12.264 c:1.189 rttpred:12012.024 rtttarget:13264.000 rttmin12264.000 e:-1.252 eold:-0.954 eavg:-3.362 tim:6
node:96 rate:1.720 new_rtt12.304 c:1.115 rttpred:12224.226 rtttarget:13264.000 rttmin12264.000 e:-1.040 eold:-1.252 eavg:-3.246 tim:7
node:96 rate:1.000 new_rtt12.271 c:0.778 rttpred:12147.387 rtttarget:11037.600 rttmin12264.000 e:1.110 eold:0.000 eavg:0.000 tim:1
node:96 rate:1.918 new_rtt12.279 c:1.162 rttpred:12107.649 rtttarget:13264.000 rttmin12264.000 e:-1.156 eold:-1.040 eavg:-3.448 tim:8
node:96 rate:2.228 new_rtt12.264 c:1.148 rttpred:12111.310 rtttarget:13264.000 rttmin12264.000 e:-1.153 eold:-1.156 eavg:-3.349 tim:9
node:96 rate:1.000 new_rtt12.264 c:0.894 rttpred:12120.364 rtttarget:11037.600 rttmin12264.000 e:1.083 eold:1.110 eavg:0.000 tim:2
node:96 rate:2.559 new_rtt12.264 c:1.145 rttpred:12135.410 rtttarget:13264.000 rttmin12264.000 e:-1.129 eold:-1.153 eavg:-3.438 tim:10
node:96 rate:1.000 new_rtt12.284 c:0.847 rttpred:12177.479 rtttarget:11037.600 rttmin12264.000 e:1.140 eold:1.083 eavg:3.332 tim:3
node:96 rate:2.929 new_rtt12.280 c:1.139 rttpred:12172.221 rtttarget:13264.000 rttmin12264.000 e:-1.092 eold:-1.129 eavg:-3.373 tim:11
node:96 rate:1.000 new_rtt12.264 c:1.336 rttpred:12100.517 rtttarget:13264.000 rttmin12264.000 e:-1.163 eold:1.140 eavg:1.059 tim:4
node:96 rate:3.337 new_rtt12.264 c:1.155 rttpred:12109.640 rtttarget:13264.000 rttmin12264.000 e:-1.154 eold:-1.092 eavg:-3.375 tim:12
node:96 rate:1.336 new_rtt12.275 c:1.116 rttpred:12156.951 rtttarget:13264.000 rttmin12264.000 e:-1.107 eold:-1.163 eavg:-1.131 tim:5
node:96 rate:3.856 new_rtt12.311 c:1.122 rttpred:12242.598 rtttarget:13264.000 rttmin12264.000 e:-1.021 eold:-1.154 eavg:-3.268 tim:13
node:96 rate:1.492 new_rtt12.315 c:1.128 rttpred:12233.295 rtttarget:13264.000 rttmin12264.000 e:-1.031 eold:-1.107 eavg:-3.301 tim:6
node:96 rate:4.324 new_rtt12.264 c:1.172 rttpred:12061.047 rtttarget:13264.000 rttmin12264.000 e:-1.203 eold:-1.021 eavg:-3.379 tim:14
node:96 rate:1.683 new_rtt12.308 c:1.151 rttpred:12154.532 rtttarget:13264.000 rttmin12264.000 e:-1.109 eold:-1.031 eavg:-3.247 tim:7
node:96 rate:5.069 new_rtt12.352 c:1.097 rttpred:12337.098 rtttarget:13264.000 rttmin12264.000 e:-0.927 eold:-1.203 eavg:-3.151 tim:15
node:96 rate:1.000 new_rtt16.375 c:0.673 rttpred:16302.510 rtttarget:14666.400 rttmin16296.000 e:1.636 eold:0.000 eavg:0.000 tim:1
node:96 rate:5.559 new_rtt12.326 c:1.164 rttpred:12141.161 rtttarget:13264.000 rttmin12264.000 e:-1.123 eold:-0.927 eavg:-3.253 tim:16
node:96 rate:1.938 new_rtt12.264 c:1.162 rttpred:12064.784 rtttarget:13264.000 rttmin12264.000 e:-1.199 eold:-1.109 eavg:-3.339 tim:8
node:96 rate:1.000 new_rtt15.719 c:1.056 rttpred:14686.748 rtttarget:14147.100 rttmin15719.000 e:0.540 eold:1.636 eavg:0.000 tim:2
node:96 rate:2.252 new_rtt12.264 c:1.140 rttpred:12134.536 rtttarget:13264.000 rttmin12264.000 e:-1.129 eold:-1.199 eavg:-3.438 tim:9
node:96 rate:6.473 new_rtt12.315 c:1.141 rttpred:12156.555 rtttarget:13264.000 rttmin12264.000 e:-1.107 eold:-1.123 eavg:-3.157 tim:17
node:96 rate:1.056 new_rtt15.137 c:0.885 rttpred:14322.716 rtttarget:13623.300 rttmin15137.000 e:0.699 eold:0.540 eavg:2.875 tim:3
node:96 rate:7.384 new_rtt12.297 c:1.149 rttpred:12135.258 rtttarget:13264.000 rttmin12264.000 e:-1.129 eold:-1.107 eavg:-3.359 tim:18
node:96 rate:2.568 new_rtt12.280 c:1.140 rttpred:12172.679 rtttarget:13264.000 rttmin12264.000 e:-1.091 eold:-1.129 eavg:-3.420 tim:10
node:96 rate:1.000 new_rtt12.310 c:1.950 rttpred:9062.620 rtttarget:13310.000 rttmin12310.000 e:-4.247 eold:0.699 eavg:-3.008 tim:4
