node:224 rate:1.000 new_rtt8.076 c:0.894 rttpred:7800.412 rtttarget:7268.400 rttmin8076.000 e:0.532 eold:0.000 eavg:0.000 tim:1
node:224 rate:1.000 new_rtt8.220 c:0.853 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.733 eold:0.000 eavg:0.000 tim:1
node:224 rate:1.000 new_rtt8.094 c:0.962 rttpred:7841.478 rtttarget:7284.600 rttmin8094.000 e:0.557 eold:0.733 eavg:0.000 tim:2
node:224 rate:1.000 new_rtt8.220 c:0.853 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.733 eold:0.000 eavg:0.000 tim:1
node:224 rate:1.000 new_rtt8.220 c:0.927 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.733 eold:0.733 eavg:0.000 tim:2
node:224 rate:1.000 new_rtt8.256 c:0.887 rttpred:8214.354 rtttarget:7398.000 rttmin8220.000 e:0.816 eold:0.733 eavg:2.282 tim:3
node:224 rate:1.000 new_rtt8.220 c:1.307 rttpred:8075.047 rtttarget:9220.000 rttmin8220.000 e:-1.145 eold:0.816 eavg:0.404 tim:4
node:224 rate:1.307 new_rtt8.220 c:1.117 rttpred:8131.166 rtttarget:9220.000 rttmin8220.000 e:-1.089 eold:-1.145 eavg:-1.417 tim:5
node:224 rate:1.460 new_rtt8.220 c:1.142 rttpred:8132.565 rtttarget:9220.000 rttmin8220.000 e:-1.087 eold:-1.089 eavg:-3.321 tim:6
node:224 rate:1.667 new_rtt8.232 c:1.136 rttpred:8160.022 rtttarget:9220.000 rttmin8220.000 e:-1.060 eold:-1.087 eavg:-3.236 tim:7
node:224 rate:1.893 new_rtt8.220 c:1.148 rttpred:8113.420 rtttarget:9220.000 rttmin8220.000 e:-1.107 eold:-1.060 eavg:-3.254 tim:8
node:224 rate:2.173 new_rtt8.220 c:1.140 rttpred:8131.855 rtttarget:9220.000 rttmin8220.000 e:-1.088 eold:-1.107 eavg:-3.255 tim:9
node:224 rate:2.476 new_rtt8.220 c:1.142 rttpred:8132.162 rtttarget:9220.000 rttmin8220.000 e:-1.088 eold:-1.088 eavg:-3.283 tim:10
node:224 rate:2.827 new_rtt8.220 c:1.141 rttpred:8131.929 rtttarget:9220.000 rttmin8220.000 e:-1.088 eold:-1.088 eavg:-3.264 tim:11
node:224 rate:3.227 new_rtt8.232 c:1.136 rttpred:8159.507 rtttarget:9220.000 rttmin8220.000 e:-1.060 eold:-1.088 eavg:-3.236 tim:12
node:224 rate:3.665 new_rtt8.220 c:1.148 rttpred:8113.006 rtttarget:9220.000 rttmin8220.000 e:-1.107 eold:-1.060 eavg:-3.256 tim:13
node:224 rate:4.207 new_rtt8.229 c:1.135 rttpred:8152.323 rtttarget:9220.000 rttmin8220.000 e:-1.068 eold:-1.107 eavg:-3.235 tim:14
node:224 rate:4.775 new_rtt8.220 c:1.146 rttpred:8117.970 rtttarget:9220.000 rttmin8220.000 e:-1.102 eold:-1.068 eavg:-3.277 tim:15
node:224 rate:1.000 new_rtt4.196 c:0.995 rttpred:3801.864 rtttarget:3776.400 rttmin4196.000 e:0.025 eold:0.000 eavg:0.000 tim:1
node:224 rate:1.000 new_rtt4.189 c:0.924 rttpred:4163.067 rtttarget:3770.100 rttmin4189.000 e:0.393 eold:0.025 eavg:0.000 tim:2
node:224 rate:1.000 new_rtt4.176 c:0.953 rttpred:4148.814 rtttarget:3758.400 rttmin4176.000 e:0.390 eold:0.393 eavg:0.809 tim:3
node:224 rate:1.000 new_rtt4.239 c:1.212 rttpred:4313.671 rtttarget:5176.000 rttmin4176.000 e:-0.862 eold:0.390 eavg:-0.079 tim:4
node:224 rate:1.212 new_rtt4.176 c:1.151 rttpred:4068.415 rtttarget:5176.000 rttmin4176.000 e:-1.108 eold:-0.862 eavg:-1.580 tim:5
node:224 rate:1.395 new_rtt5.193 c:0.592 rttpred:6687.324 rtttarget:5176.000 rttmin4176.000 e:1.511 eold:-1.108 eavg:-0.459 tim:6
node:224 rate:1.000 new_rtt7.062 c:0.454 rttpred:8478.483 rtttarget:5176.000 rttmin4176.000 e:3.302 eold:1.511 eavg:3.706 tim:7
