node:142 rate:1.000 new_rtt8.120 c:0.881 rttpred:7900.926 rtttarget:7308.000 rttmin8120.000 e:0.593 eold:0.000 eavg:0.000 tim:1
node:142 rate:1.000 new_rtt16.023 c:0.067 rttpred:17816.917 rtttarget:13154.400 rttmin14616.000 e:4.663 eold:0.000 eavg:0.000 tim:1
node:142 rate:1.000 new_rtt15.288 c:1.389 rttpred:13540.976 rtttarget:13154.400 rttmin14616.000 e:0.387 eold:4.663 eavg:0.000 tim:2
node:142 rate:1.389 new_rtt12.600 c:1.305 rttpred:9829.282 rtttarget:11340.000 rttmin12600.000 e:-1.511 eold:0.387 eavg:3.538 tim:3
node:142 rate:1.000 new_rtt12.264 c:0.781 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.094 eold:0.000 eavg:0.000 tim:1
node:142 rate:1.000 new_rtt12.264 c:0.891 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.094 eold:1.094 eavg:0.000 tim:2
node:142 rate:1.813 new_rtt13.197 c:0.842 rttpred:13685.326 rtttarget:13600.000 rttmin12600.000 e:0.085 eold:-1.511 eavg:-1.039 tim:4
node:142 rate:1.527 new_rtt12.627 c:1.387 rttpred:11865.033 rtttarget:13600.000 rttmin12600.000 e:-1.735 eold:0.085 eavg:-3.160 tim:5
node:142 rate:1.000 new_rtt12.264 c:0.858 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.094 eold:1.094 eavg:3.281 tim:3
node:142 rate:2.118 new_rtt13.343 c:0.708 rttpred:14244.853 rtttarget:13600.000 rttmin12600.000 e:0.645 eold:-1.735 eavg:-1.005 tim:6
node:142 rate:1.000 new_rtt12.264 c:1.325 rttpred:12131.202 rtttarget:13264.000 rttmin12264.000 e:-1.133 eold:1.094 eavg:1.054 tim:4
node:142 rate:1.499 new_rtt14.697 c:0.418 rttpred:16732.532 rtttarget:13600.000 rttmin12600.000 e:3.133 eold:0.645 eavg:2.042 tim:7
node:142 rate:1.325 new_rtt12.264 c:1.125 rttpred:12131.202 rtttarget:13264.000 rttmin12264.000 e:-1.133 eold:-1.133 eavg:-1.172 tim:5
node:142 rate:1.000 new_rtt12.509 c:2.143 rttpred:9377.734 rtttarget:13509.000 rttmin12509.000 e:-4.131 eold:3.133 eavg:-0.354 tim:8
node:142 rate:1.491 new_rtt12.264 c:1.147 rttpred:12131.202 rtttarget:13264.000 rttmin12264.000 e:-1.133 eold:-1.133 eavg:-3.398 tim:6
node:142 rate:1.000 new_rtt12.314 c:0.766 rttpred:12224.384 rtttarget:11052.900 rttmin12281.000 e:1.171 eold:0.000 eavg:0.000 tim:1
node:142 rate:2.143 new_rtt12.601 c:0.786 rttpred:12608.118 rtttarget:13509.000 rttmin12509.000 e:-0.901 eold:-4.131 eavg:-1.900 tim:9
node:142 rate:1.711 new_rtt12.264 c:1.147 rttpred:12131.202 rtttarget:13264.000 rttmin12264.000 e:-1.133 eold:-1.133 eavg:-3.398 tim:7
node:142 rate:1.000 new_rtt12.264 c:0.913 rttpred:12057.617 rtttarget:11037.600 rttmin12264.000 e:1.020 eold:1.171 eavg:0.000 tim:2
node:142 rate:1.963 new_rtt12.264 c:1.147 rttpred:12131.202 rtttarget:13264.000 rttmin12264.000 e:-1.133 eold:-1.133 eavg:-3.398 tim:8
node:142 rate:1.000 new_rtt12.264 c:0.850 rttpred:12135.101 rtttarget:11037.600 rttmin12264.000 e:1.098 eold:1.020 eavg:3.289 tim:3
node:142 rate:1.685 new_rtt16.286 c:-0.827 rttpred:22019.625 rtttarget:13509.000 rttmin12509.000 e:8.511 eold:-0.901 eavg:3.478 tim:10
node:142 rate:2.252 new_rtt12.284 c:1.138 rttpred:12177.465 rtttarget:13264.000 rttmin12264.000 e:-1.087 eold:-1.133 eavg:-3.352 tim:9
node:142 rate:1.000 new_rtt12.289 c:1.313 rttpred:12194.237 rtttarget:13264.000 rttmin12264.000 e:-1.070 eold:1.098 eavg:1.048 tim:4
node:142 rate:1.000 new_rtt13.891 c:2.748 rttpred:8877.685 rtttarget:13509.000 rttmin12509.000 e:-4.631 eold:8.511 eavg:2.978 tim:11
node:142 rate:2.561 new_rtt12.264 c:1.158 rttpred:12100.205 rtttarget:13264.000 rttmin12264.000 e:-1.164 eold:-1.087 eavg:-3.383 tim:10
node:142 rate:1.313 new_rtt12.264 c:1.138 rttpred:12096.630 rtttarget:13264.000 rttmin12264.000 e:-1.167 eold:-1.070 eavg:-1.140 tim:5
node:142 rate:2.748 new_rtt12.962 c:0.804 rttpred:12051.034 rtttarget:13509.000 rttmin12509.000 e:-1.458 eold:-4.631 eavg:2.421 tim:12
node:142 rate:2.966 new_rtt12.346 c:1.104 rttpred:12321.105 rtttarget:13264.000 rttmin12264.000 e:-0.943 eold:-1.164 eavg:-3.193 tim:11
node:142 rate:1.494 new_rtt12.281 c:1.135 rttpred:12173.888 rtttarget:13264.000 rttmin12264.000 e:-1.090 eold:-1.167 eavg:-3.327 tim:6
node:142 rate:3.275 new_rtt12.264 c:1.191 rttpred:12004.426 rtttarget:13264.000 rttmin12264.000 e:-1.260 eold:-0.943 eavg:-3.366 tim:12
