node:144 rate:1.000 new_rtt12.327 c:0.758 rttpred:12259.829 rtttarget:11049.300 rttmin12277.000 e:1.211 eold:0.000 eavg:0.000 tim:1
node:144 rate:1.000 new_rtt12.276 c:0.918 rttpred:12064.079 rtttarget:11048.400 rttmin12276.000 e:1.016 eold:1.211 eavg:0.000 tim:2
node:144 rate:1.000 new_rtt12.373 c:0.802 rttpred:12367.730 rtttarget:11048.400 rttmin12276.000 e:1.319 eold:1.016 eavg:3.546 tim:3
node:144 rate:1.000 new_rtt12.412 c:1.312 rttpred:12308.561 rtttarget:13276.000 rttmin12276.000 e:-0.967 eold:1.319 eavg:1.368 tim:4
node:144 rate:1.312 new_rtt12.264 c:1.184 rttpred:11908.348 rtttarget:13264.000 rttmin12264.000 e:-1.356 eold:-0.967 eavg:-1.004 tim:5
node:144 rate:1.554 new_rtt12.264 c:1.124 rttpred:12139.866 rtttarget:13264.000 rttmin12264.000 e:-1.124 eold:-1.356 eavg:-3.447 tim:6
node:144 rate:1.746 new_rtt12.290 c:1.135 rttpred:12204.366 rtttarget:13264.000 rttmin12264.000 e:-1.060 eold:-1.124 eavg:-3.539 tim:7
node:144 rate:1.981 new_rtt12.285 c:1.150 rttpred:12150.069 rtttarget:13264.000 rttmin12264.000 e:-1.114 eold:-1.060 eavg:-3.298 tim:8
node:144 rate:2.278 new_rtt12.264 c:1.153 rttpred:12107.283 rtttarget:13264.000 rttmin12264.000 e:-1.157 eold:-1.114 eavg:-3.330 tim:9
node:144 rate:2.627 new_rtt12.281 c:1.135 rttpred:12178.385 rtttarget:13264.000 rttmin12264.000 e:-1.086 eold:-1.157 eavg:-3.356 tim:10
node:144 rate:2.982 new_rtt12.294 c:1.141 rttpred:12181.577 rtttarget:13264.000 rttmin12264.000 e:-1.082 eold:-1.086 eavg:-3.325 tim:11
node:144 rate:3.403 new_rtt12.312 c:1.137 rttpred:12201.692 rtttarget:13264.000 rttmin12264.000 e:-1.062 eold:-1.082 eavg:-3.230 tim:12
node:144 rate:3.868 new_rtt12.347 c:1.127 rttpred:12254.328 rtttarget:13264.000 rttmin12264.000 e:-1.010 eold:-1.062 eavg:-3.154 tim:13
node:144 rate:4.360 new_rtt12.304 c:1.164 rttpred:12100.831 rtttarget:13264.000 rttmin12264.000 e:-1.163 eold:-1.010 eavg:-3.235 tim:14
node:144 rate:1.000 new_rtt4.176 c:0.926 rttpred:4130.781 rtttarget:3758.400 rttmin4176.000 e:0.372 eold:0.000 eavg:0.000 tim:1
node:144 rate:1.000 new_rtt4.176 c:0.963 rttpred:4130.781 rtttarget:3758.400 rttmin4176.000 e:0.372 eold:0.372 eavg:0.000 tim:2
node:144 rate:5.075 new_rtt12.264 c:1.155 rttpred:12076.775 rtttarget:13264.000 rttmin12264.000 e:-1.187 eold:-1.163 eavg:-3.360 tim:15
node:144 rate:1.000 new_rtt4.176 c:0.952 rttpred:4130.781 rtttarget:3758.400 rttmin4176.000 e:0.372 eold:0.372 eavg:1.117 tim:3
node:144 rate:1.000 new_rtt4.176 c:1.249 rttpred:4130.781 rtttarget:5176.000 rttmin4176.000 e:-1.045 eold:0.372 eavg:-0.300 tim:4
node:144 rate:5.860 new_rtt12.331 c:1.108 rttpred:12295.228 rtttarget:13264.000 rttmin12264.000 e:-0.969 eold:-1.187 eavg:-3.319 tim:16
node:144 rate:1.249 new_rtt4.176 c:1.122 rttpred:4130.781 rtttarget:5176.000 rttmin4176.000 e:-1.045 eold:-1.045 eavg:-1.718 tim:5
node:144 rate:6.494 new_rtt12.264 c:1.183 rttpred:12036.166 rtttarget:13264.000 rttmin12264.000 e:-1.228 eold:-0.969 eavg:-3.384 tim:17
node:144 rate:1.401 new_rtt4.176 c:1.136 rttpred:4130.781 rtttarget:5176.000 rttmin4176.000 e:-1.045 eold:-1.045 eavg:-3.136 tim:6
node:144 rate:1.592 new_rtt4.176 c:1.136 rttpred:4130.781 rtttarget:5176.000 rttmin4176.000 e:-1.045 eold:-1.045 eavg:-3.136 tim:7
node:144 rate:1.808 new_rtt4.176 c:1.136 rttpred:4130.781 rtttarget:5176.000 rttmin4176.000 e:-1.045 eold:-1.045 eavg:-3.136 tim:8
node:144 rate:2.054 new_rtt4.176 c:1.136 rttpred:4130.781 rtttarget:5176.000 rttmin4176.000 e:-1.045 eold:-1.045 eavg:-3.136 tim:9
node:144 rate:2.333 new_rtt4.176 c:1.136 rttpred:4130.781 rtttarget:5176.000 rttmin4176.000 e:-1.045 eold:-1.045 eavg:-3.136 tim:10
node:144 rate:2.650 new_rtt4.220 c:1.114 rttpred:4232.908 rtttarget:5176.000 rttmin4176.000 e:-0.943 eold:-1.045 eavg:-3.034 tim:11
node:144 rate:2.953 new_rtt4.176 c:1.160 rttpred:4062.001 rtttarget:5176.000 rttmin4176.000 e:-1.114 eold:-0.943 eavg:-3.102 tim:12
node:144 rate:3.424 new_rtt4.176 c:1.129 rttpred:4130.989 rtttarget:5176.000 rttmin4176.000 e:-1.045 eold:-1.114 eavg:-3.102 tim:13
node:144 rate:1.000 new_rtt8.220 c:0.853 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.733 eold:0.000 eavg:0.000 tim:1
node:144 rate:3.864 new_rtt4.721 c:0.860 rttpred:5447.493 rtttarget:5176.000 rttmin4176.000 e:0.271 eold:-1.045 eavg:-1.888 tim:14
node:144 rate:1.000 new_rtt8.220 c:0.927 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.733 eold:0.733 eavg:0.000 tim:2
node:144 rate:3.324 new_rtt4.176 c:1.449 rttpred:3206.372 rtttarget:5176.000 rttmin4176.000 e:-1.970 eold:0.271 eavg:-2.743 tim:15
node:144 rate:4.814 new_rtt6.510 c:-0.020 rttpred:9176.669 rtttarget:5176.000 rttmin4176.000 e:4.001 eold:-1.970 eavg:2.303 tim:16
node:144 rate:1.000 new_rtt8.220 c:0.905 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.733 eold:0.733 eavg:2.199 tim:3
node:144 rate:1.000 new_rtt6.978 c:1.619 rttpred:4038.155 rtttarget:5176.000 rttmin4176.000 e:-1.138 eold:4.001 eavg:0.893 tim:17
node:144 rate:1.000 new_rtt8.220 c:1.287 rttpred:8130.991 rtttarget:9220.000 rttmin8220.000 e:-1.089 eold:0.733 eavg:0.377 tim:4
node:144 rate:1.619 new_rtt6.810 c:0.993 rttpred:4530.442 rtttarget:5176.000 rttmin4176.000 e:-0.646 eold:-1.138 eavg:2.217 tim:18
node:144 rate:1.287 new_rtt8.220 c:1.123 rttpred:8130.991 rtttarget:9220.000 rttmin8220.000 e:-1.089 eold:-1.089 eavg:-1.445 tim:5
node:144 rate:1.608 new_rtt5.833 c:1.081 rttpred:4566.799 rtttarget:5176.000 rttmin4176.000 e:-0.609 eold:-0.646 eavg:-2.393 tim:19
node:144 rate:1.446 new_rtt11.508 c:-0.559 rttpred:16228.615 rtttarget:9220.000 rttmin8220.000 e:7.009 eold:-1.089 eavg:4.831 tim:6
node:144 rate:1.738 new_rtt4.176 c:1.265 rttpred:3682.604 rtttarget:5176.000 rttmin4176.000 e:-1.493 eold:-0.609 eavg:-2.748 tim:20
node:144 rate:2.199 new_rtt7.355 c:-0.377 rttpred:11124.308 rtttarget:5176.000 rttmin4176.000 e:5.948 eold:-1.493 eavg:3.846 tim:21
node:144 rate:1.000 new_rtt8.617 c:2.892 rttpred:3266.308 rtttarget:9220.000 rttmin8220.000 e:-5.954 eold:7.009 eavg:-0.034 tim:7
node:144 rate:1.000 new_rtt4.176 c:2.640 rttpred:-11.844 rtttarget:5176.000 rttmin4176.000 e:-5.188 eold:5.948 eavg:-0.733 tim:22
node:144 rate:2.640 new_rtt4.278 c:0.676 rttpred:4210.199 rtttarget:5176.000 rttmin4176.000 e:-0.966 eold:-5.188 eavg:-0.205 tim:23
