node:148 rate:1.469 new_rtt12.659 c:1.040 rttpred:12817.376 rtttarget:15330.000 rttmin12264.000 e:-0.164 eold:-0.195 eavg:-0.109 flag:1
node:148 rate:1.000 new_rtt8.220 c:0.980 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.099 eold:0.099 eavg:0.000 flag:1
node:148 rate:1.644 new_rtt4.176 c:1.058 rttpred:4132.081 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.156 flag:1
node:148 rate:1.133 new_rtt8.220 c:1.053 rttpred:8089.078 rtttarget:10275.000 rttmin8220.000 e:-0.213 eold:-0.203 eavg:-0.085 flag:1
node:148 rate:1.000 new_rtt12.284 c:0.967 rttpred:12150.985 rtttarget:11055.600 rttmin12284.000 e:0.099 eold:0.000 eavg:0.000 flag:1
node:148 rate:1.740 new_rtt4.176 c:1.059 rttpred:4131.823 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.160 flag:1
node:148 rate:1.000 new_rtt8.220 c:0.970 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.099 eold:0.099 eavg:0.099 flag:1
node:148 rate:1.842 new_rtt4.176 c:1.059 rttpred:4131.616 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.208 eavg:-0.163 flag:1
node:148 rate:1.951 new_rtt4.176 c:1.059 rttpred:4131.450 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.209 eavg:-0.166 flag:1
node:148 rate:1.194 new_rtt8.253 c:1.050 rttpred:8207.330 rtttarget:10275.000 rttmin8220.000 e:-0.201 eold:-0.213 eavg:-0.105 flag:1
node:148 rate:1.529 new_rtt12.775 c:1.046 rttpred:12773.005 rtttarget:15330.000 rttmin12264.000 e:-0.167 eold:-0.164 eavg:-0.113 flag:1
node:148 rate:1.000 new_rtt8.289 c:0.961 rttpred:8291.015 rtttarget:10275.000 rttmin8220.000 e:0.121 eold:0.099 eavg:0.110 flag:1
