node:14 rate:2.350 new_rtt4.176 c:1.057 rttpred:4137.398 rtttarget:5220.000 rttmin4176.000 e:-0.207 eold:-0.220 eavg:-0.159 flag:1
node:14 rate:2.483 new_rtt4.206 c:1.054 rttpred:4207.759 rtttarget:5220.000 rttmin4176.000 e:-0.194 eold:-0.207 eavg:-0.161 flag:1
node:14 rate:1.753 new_rtt12.264 c:1.059 rttpred:12131.688 rtttarget:15330.000 rttmin12264.000 e:-0.209 eold:-0.211 eavg:-0.161 flag:1
node:14 rate:2.617 new_rtt4.176 c:1.064 rttpred:4090.176 rtttarget:5220.000 rttmin4176.000 e:-0.216 eold:-0.194 eavg:-0.163 flag:1
node:14 rate:2.784 new_rtt4.176 c:1.058 rttpred:4135.440 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.216 eavg:-0.165 flag:1
node:14 rate:1.856 new_rtt12.264 c:1.059 rttpred:12132.351 rtttarget:15330.000 rttmin12264.000 e:-0.209 eold:-0.209 eavg:-0.165 flag:1
node:14 rate:2.945 new_rtt4.176 c:1.059 rttpred:4135.729 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.167 flag:1
node:14 rate:3.120 new_rtt4.232 c:1.051 rttpred:4265.294 rtttarget:5220.000 rttmin4176.000 e:-0.183 eold:-0.208 eavg:-0.168 flag:1
node:14 rate:1.965 new_rtt12.264 c:1.060 rttpred:12132.121 rtttarget:15330.000 rttmin12264.000 e:-0.209 eold:-0.209 eavg:-0.168 flag:1
node:14 rate:3.279 new_rtt4.176 c:1.068 rttpred:4046.655 rtttarget:5220.000 rttmin4176.000 e:-0.225 eold:-0.183 eavg:-0.170 flag:1
node:14 rate:3.503 new_rtt4.176 c:1.058 rttpred:4133.525 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.225 eavg:-0.171 flag:1
node:14 rate:3.705 new_rtt4.176 c:1.060 rttpred:4135.193 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.172 flag:1
node:14 rate:2.082 new_rtt12.338 c:1.056 rttpred:12303.437 rtttarget:15330.000 rttmin12264.000 e:-0.197 eold:-0.209 eavg:-0.169 flag:1
node:14 rate:3.927 new_rtt4.176 c:1.060 rttpred:4134.336 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.174 flag:1
node:14 rate:4.163 new_rtt4.216 c:1.054 rttpred:4226.657 rtttarget:5220.000 rttmin4176.000 e:-0.190 eold:-0.208 eavg:-0.174 flag:1
node:14 rate:1.000 new_rtt12.284 c:0.966 rttpred:12158.923 rtttarget:11050.200 rttmin12278.000 e:0.100 eold:0.000 eavg:0.000 flag:1
node:14 rate:4.388 new_rtt4.179 c:1.066 rttpred:4077.732 rtttarget:5220.000 rttmin4176.000 e:-0.219 eold:-0.190 eavg:-0.176 flag:1
node:14 rate:2.199 new_rtt12.292 c:1.063 rttpred:12081.160 rtttarget:15330.000 rttmin12264.000 e:-0.212 eold:-0.197 eavg:-0.172 flag:1
node:14 rate:4.678 new_rtt4.176 c:1.059 rttpred:4128.205 rtttarget:5220.000 rttmin4176.000 e:-0.209 eold:-0.219 eavg:-0.177 flag:1
node:14 rate:4.956 new_rtt4.176 c:1.060 rttpred:4133.964 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.209 eavg:-0.178 flag:1
node:14 rate:1.000 new_rtt12.278 c:0.980 rttpred:12135.761 rtttarget:11050.200 rttmin12278.000 e:0.098 eold:0.100 eavg:0.000 flag:1
node:14 rate:5.254 new_rtt4.176 c:1.061 rttpred:4133.461 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.179 flag:1
node:14 rate:2.336 new_rtt12.264 c:1.061 rttpred:12089.037 rtttarget:15330.000 rttmin12264.000 e:-0.211 eold:-0.212 eavg:-0.174 flag:1
node:14 rate:5.572 new_rtt4.223 c:1.054 rttpred:4242.236 rtttarget:5220.000 rttmin4176.000 e:-0.187 eold:-0.208 eavg:-0.179 flag:1
node:14 rate:5.871 new_rtt4.226 c:1.061 rttpred:4174.517 rtttarget:5220.000 rttmin4176.000 e:-0.200 eold:-0.187 eavg:-0.179 flag:1
node:14 rate:6.227 new_rtt4.176 c:1.067 rttpred:4055.692 rtttarget:5220.000 rttmin4176.000 e:-0.223 eold:-0.200 eavg:-0.181 flag:1
node:14 rate:2.478 new_rtt12.264 c:1.060 rttpred:12134.911 rtttarget:15330.000 rttmin12264.000 e:-0.208 eold:-0.211 eavg:-0.176 flag:1
node:14 rate:1.000 new_rtt12.278 c:0.980 rttpred:12145.080 rtttarget:11050.200 rttmin12278.000 e:0.099 eold:0.098 eavg:0.000 flag:1
node:14 rate:6.643 new_rtt4.176 c:1.059 rttpred:4134.016 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.223 eavg:-0.181 flag:1
node:14 rate:7.033 new_rtt4.176 c:1.061 rttpred:4135.357 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.182 flag:1
node:14 rate:7.461 new_rtt4.176 c:1.061 rttpred:4134.469 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.183 flag:1
node:14 rate:2.627 new_rtt12.282 c:1.060 rttpred:12176.973 rtttarget:15330.000 rttmin12264.000 e:-0.206 eold:-0.208 eavg:-0.177 flag:1
node:14 rate:1.000 new_rtt12.280 c:0.970 rttpred:12149.938 rtttarget:11050.200 rttmin12278.000 e:0.100 eold:0.099 eavg:0.100 flag:1
node:14 rate:7.915 new_rtt4.188 c:1.059 rttpred:4161.585 rtttarget:5220.000 rttmin4176.000 e:-0.203 eold:-0.208 eavg:-0.183 flag:1
node:14 rate:8.384 new_rtt4.176 c:1.063 rttpred:4114.616 rtttarget:5220.000 rttmin4176.000 e:-0.212 eold:-0.203 eavg:-0.184 flag:1
node:14 rate:2.783 new_rtt12.264 c:1.062 rttpred:12106.638 rtttarget:15330.000 rttmin12264.000 e:-0.210 eold:-0.206 eavg:-0.179 flag:1
node:14 rate:8.912 new_rtt4.176 c:1.061 rttpred:4132.739 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.212 eavg:-0.184 flag:1
node:14 rate:9.453 new_rtt4.176 c:1.061 rttpred:4132.832 rtttarget:5220.000 rttmin4176.000 e:-0.208 eold:-0.208 eavg:-0.185 flag:1
node:14 rate:1.000 new_rtt4.176 c:0.967 rttpred:4130.781 rtttarget:3758.400 rttmin4176.000 e:0.099 eold:0.000 eavg:0.000 flag:1
node:14 rate:1.000 new_rtt12.264 c:0.971 rttpred:12109.818 rtttarget:15330.000 rttmin12264.000 e:0.097 eold:0.100 eavg:0.098 flag:1
