node:284 rate:1.000 new_rtt14.364 c:1.017 rttpred:12255.980 rtttarget:12927.600 rttmin14364.000 e:-0.052 eold:0.000 eavg:0.000 flag:1
node:284 rate:1.017 new_rtt14.028 c:0.969 rttpred:13535.592 rtttarget:12625.200 rttmin14028.000 e:0.072 eold:-0.052 eavg:0.000 flag:1
node:284 rate:1.000 new_rtt12.530 c:1.028 rttpred:10637.885 rtttarget:11277.000 rttmin12530.000 e:-0.057 eold:0.072 eavg:0.000 flag:1
node:284 rate:1.028 new_rtt12.530 c:0.953 rttpred:12297.067 rtttarget:11277.000 rttmin12530.000 e:0.090 eold:-0.057 eavg:0.090 flag:1
node:284 rate:1.000 new_rtt12.466 c:0.971 rttpred:12275.088 rtttarget:15582.500 rttmin12466.000 e:0.094 eold:0.090 eavg:0.092 flag:1
node:284 rate:1.000 new_rtt12.341 c:0.962 rttpred:12302.968 rtttarget:11042.100 rttmin12269.000 e:0.114 eold:0.000 eavg:0.000 flag:1
node:284 rate:1.000 new_rtt12.382 c:0.971 rttpred:12201.089 rtttarget:15477.500 rttmin12382.000 e:0.095 eold:0.094 eavg:0.093 flag:1
node:284 rate:1.000 new_rtt12.264 c:0.985 rttpred:12012.591 rtttarget:11037.600 rttmin12264.000 e:0.088 eold:0.114 eavg:0.000 flag:1
node:284 rate:1.000 new_rtt12.298 c:0.971 rttpred:12139.222 rtttarget:15372.500 rttmin12298.000 e:0.097 eold:0.095 eavg:0.094 flag:1
node:284 rate:1.000 new_rtt12.283 c:0.977 rttpred:12176.391 rtttarget:11037.600 rttmin12264.000 e:0.103 eold:0.088 eavg:0.000 flag:1
node:284 rate:1.000 new_rtt13.922 c:0.985 rttpred:16246.867 rtttarget:15372.500 rttmin12298.000 e:0.057 eold:0.097 eavg:0.087 flag:1
node:284 rate:1.000 new_rtt12.264 c:0.971 rttpred:12106.040 rtttarget:11037.600 rttmin12264.000 e:0.097 eold:0.103 eavg:0.097 flag:1
node:284 rate:1.000 new_rtt12.848 c:1.097 rttpred:11119.028 rtttarget:15372.500 rttmin12298.000 e:-0.277 eold:0.057 eavg:0.026 flag:1
node:284 rate:1.000 new_rtt12.264 c:0.969 rttpred:12134.661 rtttarget:15330.000 rttmin12264.000 e:0.099 eold:0.097 eavg:0.098 flag:1
node:284 rate:1.097 new_rtt12.518 c:1.037 rttpred:12051.164 rtttarget:15372.500 rttmin12298.000 e:-0.216 eold:-0.277 eavg:-0.009 flag:1
node:284 rate:1.000 new_rtt12.264 c:1.083 rttpred:12134.734 rtttarget:15330.000 rttmin12264.000 e:-0.208 eold:0.099 eavg:-0.004 flag:1
node:284 rate:1.138 new_rtt12.389 c:1.045 rttpred:12183.988 rtttarget:15372.500 rttmin12298.000 e:-0.207 eold:-0.216 eavg:-0.033 flag:1
