[26560, 31.15, 31.15]
[26560, 31.15, 31.15]
[26560, 31.15, 31.15]
[26560, 31.15, 31.15]
[26560, 31.15, 31.15]
[26560, 31.15, 31.15]
[26560, 31.15, 31.15]
[26560, 31.15, 31.15]
[26560, 31.15, 31.15]
[26560, 31.15, 31.15]
[26560, 31.15, 31.15]
[26560, 31.15, 31.15]
[26560, 31.15, 31.15]
[26560, 31.15, 31.765]
[26623, 31.765, 31.765]
[26769, 31.765, 31.765]
[26915, 31.765, 31.765]
[26975, 31.765, 31.765]
[26975, 31.765, 23.736]
[26975, 23.736, 23.736]
[26975, 23.736, 23.736]
[26975, 23.736, 23.736]
[26975, 23.736, 23.736]
[26975, 23.736, 23.736]
[26975, 23.736, 23.736]
[26975, 23.736, 23.736]
[26975, 23.736, 23.736]
[26975, 23.736, 23.736]
[26975, 23.736, 23.736]
[27058, 23.736, 23.736]
[28220, 23.736, 23.736]
[28220, 23.736, 23.736]
[28220, 23.736, 23.736]
[28220, 23.736, 23.736]
[28220, 23.736, 23.736]
[21580, 23.736, 23.736]
[21580, 23.736, 23.736]
[21580, 23.736, 23.736]
[21580, 23.736, 23.736]
[21580, 23.736, 23.736]
[21580, 23.736, 23.736]
[21580, 23.736, 23.736]
[21580, 23.736, 23.736]
[21580, 23.736, 24.351]
[21559, 24.351, 24.351]
[21580, 24.351, 24.351]
[21580, 24.351, 24.351]
[21580, 24.351, 24.351]
[21580, 24.351, 24.351]
[21580, 24.351, 24.351]
[21580, 24.351, 24.351]
[21580, 24.351, 24.351]
[21580, 24.351, 24.351]
[21580, 24.351, 24.351]
[21580, 24.351, 24.351]
[21580, 24.351, 24.351]
[21580, 24.351, 24.966]
[21568, 24.966, 24.966]
[21580, 24.966, 24.966]
[21580, 24.966, 24.966]
[21580, 24.966, 24.966]
[21580, 24.966, 24.966]
[21580, 24.966, 24.966]
[21580, 24.966, 24.966]
[21580, 24.966, 24.966]
[21580, 24.966, 24.966]
[21580, 24.966, 24.966]
[21580, 24.966, 24.966]
[21580, 24.966, 24.966]
[21580, 24.966, 25.581]
[21577, 25.581, 25.581]
[21580, 25.581, 25.581]
[21580, 25.581, 25.581]
[21580, 25.581, 25.581]
[21580, 25.581, 25.581]
[21580, 25.581, 25.581]
[21580, 25.581, 25.581]
[21580, 25.581, 25.581]
[21580, 25.581, 25.581]
[21580, 25.581, 25.581]
[21580, 25.581, 25.581]
[21663, 25.581, 25.581]
[22825, 25.581, 26.196]
[22830, 26.196, 26.196]
[22918, 26.196, 26.196]
[23006, 26.196, 26.196]
[23177, 26.196, 26.196]
[23157, 26.196, 26.196]
[23240, 26.196, 26.196]
[23240, 26.196, 26.196]
[23240, 26.196, 26.196]
[23240, 26.196, 26.196]
[23240, 26.196, 26.196]
[23240, 26.196, 26.196]
[23240, 26.196, 26.196]
[23240, 26.196, 26.196]
[23240, 26.196, 26.811]
[23240, 26.811, 26.811]
[23240, 26.811, 26.811]
[23240, 26.811, 26.811]
