[4340, 100.0, 100.0]
[5917, 100.0, 50.0]
[7494, 50.0, 50.0]
[9071, 50.0, 50.0]
[10648, 50.0, 50.0]
[12225, 50.0, 50.0]
[13802, 50.0, 50.0]
[15379, 50.0, 50.0]
[16956, 50.0, 50.0]
[18533, 50.0, 50.0]
[20110, 50.0, 50.0]
[21687, 50.0, 50.0]
[23264, 50.0, 50.0]
[24841, 50.0, 50.0]
[26418, 50.0, 50.0]
[27995, 50.0, 50.0]
[29572, 50.0, 50.0]
[31149, 50.0, 50.0]
[32726, 50.0, 50.0]
[34303, 50.0, 50.0]
[35880, 50.0, 50.0]
[37457, 50.0, 50.0]
[39034, 50.0, 50.0]
[40611, 50.0, 50.0]
[42188, 50.0, 50.0]
[43765, 50.0, 50.0]
[45342, 50.0, 50.0]
[46919, 50.0, 50.0]
[48496, 50.0, 50.0]
[50073, 50.0, 50.0]
[51650, 50.0, 50.0]
[53227, 50.0, 50.0]
[54804, 50.0, 50.0]
[56381, 50.0, 50.0]
[57958, 50.0, 50.0]
[59535, 50.0, 50.0]
[61112, 50.0, 50.0]
[62689, 50.0, 50.0]
[64266, 50.0, 50.0]
[65843, 50.0, 50.0]
[67420, 50.0, 50.0]
[68997, 50.0, 50.0]
[70574, 50.0, 50.0]
[72151, 50.0, 50.0]
[73728, 50.0, 50.0]
[75305, 50.0, 50.0]
[76882, 50.0, 50.0]
[78459, 50.0, 50.0]
[80036, 50.0, 50.0]
[81613, 50.0, 50.0]
[83190, 50.0, 50.0]
[84767, 50.0, 50.0]
[86320, 50.0, 50.0]
[43160, 50.0, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.644]
[22825, 25.644, 25.644]
[23157, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 27.489]
[23240, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23738, 27.489, 28.104]
[23849, 28.104, 28.104]
[24817, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 29.334]
[24900, 29.334, 29.334]
[24900, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25398, 29.334, 29.949]
[25445, 29.949, 29.949]
[25658, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
