ENABLE_QCN			Yes
USE_DYNAMIC_PFC_THRESHOLD	Yes
PACKET_PAYLOAD_SIZE		1000
TOPOLOGY_FILE			mix/topology.txt
FLOW_FILE			mix/flow.txt
TRACE_FILE			mix/trace.txt
TRACE_OUTPUT_FILE		mix/mix_topology_flow_timely.tr
FCT_OUTPUT_FILE		mix/fct_topology_flow_timely.txt
PFC_OUTPUT_FILE				mix/pfc_topology_flow_timely.txt
SIMULATOR_STOP_TIME		4
CC_MODE		7
ALPHA_RESUME_INTERVAL		1
RATE_DECREASE_INTERVAL		4
CLAMP_TARGET_RATE		No
RP_TIMER			300
EWMA_GAIN			0.00390625
FAST_RECOVERY_TIMES		1
RATE_AI				100Mb/s
RATE_HAI			500Mb/s
MIN_RATE		1000Mb/s
DCTCP_RATE_AI				1000Mb/s
ERROR_RATE_PER_LINK		0
L2_CHUNK_SIZE			4000
L2_ACK_INTERVAL			1
L2_BACK_TO_ZERO			No
HAS_WIN		0
GLOBAL_T		1
VAR_WIN		0
FAST_REACT		0
U_TARGET		0.95
MI_THRESH		0
INT_MULTI				1
MULTI_RATE				0
SAMPLE_FEEDBACK				0
PINT_LOG_BASE				1.01
PINT_PROB				1
RATE_BOUND		1
ACK_HIGH_PRIO		1
LINK_DOWN				0 0 0
ENABLE_TRACE				0
KMAX_MAP				 100000000000 1600 400000000000 6400
KMIN_MAP				 100000000000 400 400000000000 1600
PMAX_MAP				 100000000000 0.2 400000000000 0.2
BUFFER_SIZE				32
QLEN_MON_FILE				mix/qlen_topology_flow_timely.txt
QLEN_MON_START				2000000000
QLEN_MON_END				3000000000
maxRtt=4160 maxBdp=52000
Running Simulation.
2002240172 node:20 rtt:346877 rttDiff:-1050714 gradient:-52.536 rate:1.100
2002240256 node:21 rtt:346877 rttDiff:-1050876 gradient:-52.544 rate:1.100
2002240340 node:6 rtt:346541 rttDiff:-1048483 gradient:-52.424 rate:1.100
2002240424 node:7 rtt:346541 rttDiff:-1048645 gradient:-52.432 rate:1.100
2002304348 node:2 rtt:87504 rttDiff:-426812 gradient:-21.341 rate:1.200
2002306112 node:3 rtt:79057 rttDiff:-415260 gradient:-20.763 rate:1.200
2002307876 node:5 rtt:71053 rttDiff:-390677 gradient:-19.534 rate:1.200
2002307960 node:4 rtt:70694 rttDiff:-403530 gradient:-20.177 rate:1.200
2002309724 node:8 rtt:62663 rttDiff:-379784 gradient:-18.989 rate:1.200
2002309808 node:9 rtt:62663 rttDiff:-379804 gradient:-18.990 rate:1.200
2002309892 node:10 rtt:62663 rttDiff:-379824 gradient:-18.991 rate:1.200
2002309976 node:11 rtt:62663 rttDiff:-379844 gradient:-18.992 rate:1.200
2002310060 node:12 rtt:62663 rttDiff:-379865 gradient:-18.993 rate:1.200
2002310144 node:13 rtt:62663 rttDiff:-379885 gradient:-18.994 rate:1.200
2002310312 node:14 rtt:62747 rttDiff:-379832 gradient:-18.992 rate:1.200
2002310396 node:15 rtt:62747 rttDiff:-379852 gradient:-18.993 rate:1.200
2002310480 node:16 rtt:62747 rttDiff:-379872 gradient:-18.994 rate:1.200
2002310564 node:17 rtt:62747 rttDiff:-379892 gradient:-18.995 rate:1.200
2002310648 node:18 rtt:62747 rttDiff:-379912 gradient:-18.996 rate:1.200
2002310732 node:19 rtt:62747 rttDiff:-379933 gradient:-18.997 rate:1.200
2002310816 node:20 rtt:62747 rttDiff:-379953 gradient:-18.998 rate:1.200
2002310900 node:21 rtt:62747 rttDiff:-379973 gradient:-18.999 rate:1.200
2002310984 node:6 rtt:62411 rttDiff:-379674 gradient:-18.984 rate:1.200
2002311068 node:7 rtt:62411 rttDiff:-379694 gradient:-18.985 rate:1.200
2002323668 node:2 rtt:14676 rttDiff:-117076 gradient:-5.854 rate:1.300
2002324592 node:3 rtt:13068 rttDiff:-109648 gradient:-5.482 rate:1.300
2002324676 node:5 rtt:11063 rttDiff:-101326 gradient:-5.066 rate:1.300
2002324760 node:4 rtt:10704 rttDiff:-102933 gradient:-5.147 rate:1.300
2002324928 node:8 rtt:8756 rttDiff:-94642 gradient:-4.732 rate:1.300
2002325012 node:9 rtt:8756 rttDiff:-94644 gradient:-4.732 rate:1.300
2002325096 node:10 rtt:8756 rttDiff:-94647 gradient:-4.732 rate:1.300
2002325180 node:11 rtt:8756 rttDiff:-94649 gradient:-4.732 rate:1.300
2002325264 node:12 rtt:8756 rttDiff:-94652 gradient:-4.733 rate:1.300
2002325348 node:13 rtt:8756 rttDiff:-94654 gradient:-4.733 rate:1.300
2002325432 node:14 rtt:8756 rttDiff:-94721 gradient:-4.736 rate:1.300
2002325516 node:15 rtt:8756 rttDiff:-94724 gradient:-4.736 rate:1.300
2002325600 node:16 rtt:8756 rttDiff:-94726 gradient:-4.736 rate:1.300
2002325684 node:17 rtt:8756 rttDiff:-94729 gradient:-4.736 rate:1.300
2002325768 node:18 rtt:8756 rttDiff:-94731 gradient:-4.737 rate:1.300
2002325852 node:19 rtt:8756 rttDiff:-94734 gradient:-4.737 rate:1.300
2002325936 node:20 rtt:8756 rttDiff:-94736 gradient:-4.737 rate:1.300
2002326020 node:21 rtt:8756 rttDiff:-94739 gradient:-4.737 rate:1.300
2002326104 node:6 rtt:8420 rttDiff:-94701 gradient:-4.735 rate:1.300
2002326188 node:7 rtt:8420 rttDiff:-94704 gradient:-4.735 rate:1.300
2002329778 node:3 rtt:4176 rttDiff:-21486 gradient:-1.074 rate:1.400
2002331867 node:5 rtt:4176 rttDiff:-18692 gradient:-0.935 rate:1.400
2002332310 node:4 rtt:4176 rttDiff:-18579 gradient:-0.929 rate:1.400
2002334285 node:2 rtt:4176 rttDiff:-23822 gradient:-1.191 rate:1.400
2002334426 node:8 rtt:4176 rttDiff:-15838 gradient:-0.792 rate:1.400
