node:70 rate:1.000 new_rtt15.876 c:0.682 rttpred:15374.404 rtttarget:14288.400 rttmin15876.000 e:1.588 eold:0.000 eavg:0.000 tim:1
node:70 rate:1.000 new_rtt12.348 c:0.912 rttpred:8451.943 rtttarget:11113.200 rttmin12348.000 e:1.235 eold:1.588 eavg:0.000 tim:2
node:70 rate:1.000 new_rtt12.348 c:0.917 rttpred:11913.171 rtttarget:11113.200 rttmin12348.000 e:1.235 eold:1.235 eavg:4.057 tim:3
node:70 rate:1.000 new_rtt12.415 c:1.325 rttpred:12287.282 rtttarget:13348.000 rttmin12348.000 e:-0.933 eold:1.235 eavg:1.537 tim:4
node:70 rate:1.325 new_rtt12.347 c:1.100 rttpred:12142.642 rtttarget:13347.000 rttmin12347.000 e:-1.000 eold:-0.933 eavg:-0.698 tim:5
node:70 rate:1.000 new_rtt12.280 c:0.752 rttpred:12168.208 rtttarget:11037.600 rttmin12264.000 e:1.242 eold:0.000 eavg:0.000 tim:1
node:70 rate:1.458 new_rtt13.689 c:0.816 rttpred:15468.112 rtttarget:13347.000 rttmin12347.000 e:0.342 eold:-1.000 eavg:-1.591 tim:6
node:70 rate:1.000 new_rtt12.264 c:0.879 rttpred:12106.412 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.242 eavg:0.000 tim:2
node:70 rate:1.189 new_rtt12.774 c:1.136 rttpred:11475.936 rtttarget:13347.000 rttmin12347.000 e:-0.573 eold:0.342 eavg:-1.231 tim:7
node:70 rate:1.351 new_rtt12.264 c:1.130 rttpred:11578.865 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.573 eavg:-1.231 tim:8
node:70 rate:1.000 new_rtt12.271 c:0.913 rttpred:12147.449 rtttarget:11037.600 rttmin12264.000 e:1.233 eold:1.226 eavg:3.702 tim:3
node:70 rate:1.527 new_rtt12.917 c:0.950 rttpred:13757.113 rtttarget:13264.000 rttmin12264.000 e:-0.347 eold:-1.000 eavg:-1.920 tim:9
node:70 rate:1.000 new_rtt12.264 c:1.338 rttpred:12121.070 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.233 eavg:1.460 tim:4
node:70 rate:1.451 new_rtt13.298 c:0.945 rttpred:13830.379 rtttarget:13264.000 rttmin12264.000 e:0.034 eold:-0.347 eavg:-1.313 tim:10
node:70 rate:1.338 new_rtt12.264 c:1.092 rttpred:12131.797 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-0.767 tim:5
node:70 rate:1.372 new_rtt14.015 c:0.858 rttpred:14895.029 rtttarget:13264.000 rttmin12264.000 e:0.751 eold:0.034 eavg:0.438 tim:11
node:70 rate:1.461 new_rtt12.264 c:1.070 rttpred:12131.958 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:6
node:70 rate:1.564 new_rtt12.296 c:1.064 rttpred:12205.869 rtttarget:13264.000 rttmin12264.000 e:-0.968 eold:-1.000 eavg:-2.968 tim:7
node:70 rate:1.177 new_rtt13.451 c:1.047 rttpred:12319.160 rtttarget:13264.000 rttmin12264.000 e:0.187 eold:0.751 eavg:0.972 tim:12
node:70 rate:1.232 new_rtt12.264 c:1.218 rttpred:10764.026 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:0.187 eavg:-0.062 tim:13
node:70 rate:1.664 new_rtt12.283 c:1.070 rttpred:12125.929 rtttarget:13264.000 rttmin12264.000 e:-0.981 eold:-0.968 eavg:-2.949 tim:8
node:70 rate:1.501 new_rtt12.678 c:1.003 rttpred:13147.059 rtttarget:13264.000 rttmin12264.000 e:-0.586 eold:-1.000 eavg:-1.399 tim:14
node:70 rate:1.780 new_rtt12.264 c:1.072 rttpred:12102.428 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.981 eavg:-2.949 tim:9
node:70 rate:1.909 new_rtt12.264 c:1.070 rttpred:12132.997 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-2.981 tim:10
node:70 rate:1.506 new_rtt13.889 c:0.807 rttpred:15662.496 rtttarget:13264.000 rttmin12264.000 e:0.625 eold:-0.586 eavg:-0.961 tim:15
node:70 rate:2.043 new_rtt12.279 c:1.067 rttpred:12168.111 rtttarget:13264.000 rttmin12264.000 e:-0.985 eold:-1.000 eavg:-2.985 tim:11
node:70 rate:1.215 new_rtt14.894 c:0.753 rttpred:15897.654 rtttarget:13264.000 rttmin12264.000 e:1.630 eold:0.625 eavg:1.669 tim:16
node:70 rate:2.180 new_rtt12.353 c:1.055 rttpred:12315.982 rtttarget:13264.000 rttmin12264.000 e:-0.911 eold:-0.985 eavg:-2.896 tim:12
node:70 rate:1.000 new_rtt12.352 c:1.359 rttpred:8932.862 rtttarget:13264.000 rttmin12264.000 e:-0.912 eold:1.630 eavg:1.343 tim:17
node:70 rate:2.299 new_rtt12.278 c:1.077 rttpred:12026.555 rtttarget:13264.000 rttmin12264.000 e:-0.986 eold:-0.911 eavg:-2.882 tim:13
node:70 rate:1.359 new_rtt12.470 c:1.067 rttpred:12490.479 rtttarget:13264.000 rttmin12264.000 e:-0.794 eold:-0.912 eavg:-0.076 tim:18
