node:92 rate:1.000 new_rtt4.084 c:0.918 rttpred:3919.967 rtttarget:3675.600 rttmin4084.000 e:0.408 eold:0.000 eavg:0.000 tim:1
node:92 rate:1.000 new_rtt12.264 c:0.755 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:92 rate:1.000 new_rtt12.156 c:0.880 rttpred:11882.398 rtttarget:10940.400 rttmin12156.000 e:1.216 eold:1.226 eavg:0.000 tim:2
node:92 rate:1.000 new_rtt12.516 c:0.750 rttpred:10358.774 rtttarget:11264.400 rttmin12516.000 e:1.252 eold:0.000 eavg:0.000 tim:1
node:92 rate:1.000 new_rtt12.516 c:0.875 rttpred:12414.371 rtttarget:11264.400 rttmin12516.000 e:1.252 eold:1.252 eavg:0.000 tim:2
node:92 rate:1.000 new_rtt13.896 c:0.650 rttpred:15855.415 rtttarget:11264.400 rttmin12516.000 e:2.632 eold:1.252 eavg:5.135 tim:3
node:92 rate:1.000 new_rtt12.622 c:1.472 rttpred:10729.946 rtttarget:13516.000 rttmin12516.000 e:-0.894 eold:2.632 eavg:2.989 tim:4
node:92 rate:1.472 new_rtt12.432 c:1.118 rttpred:12140.694 rtttarget:13432.000 rttmin12432.000 e:-1.000 eold:-0.894 eavg:0.738 tim:5
node:92 rate:1.645 new_rtt12.361 c:1.071 rttpred:12239.213 rtttarget:13361.000 rttmin12361.000 e:-1.000 eold:-1.000 eavg:-2.894 tim:6
node:92 rate:1.762 new_rtt12.757 c:0.995 rttpred:13285.937 rtttarget:13361.000 rttmin12361.000 e:-0.604 eold:-1.000 eavg:-2.604 tim:7
node:92 rate:1.753 new_rtt12.680 c:1.053 rttpred:12522.134 rtttarget:13361.000 rttmin12361.000 e:-0.681 eold:-0.604 eavg:-2.285 tim:8
node:92 rate:1.846 new_rtt12.654 c:1.053 rttpred:12548.436 rtttarget:13361.000 rttmin12361.000 e:-0.707 eold:-0.681 eavg:-1.992 tim:9
node:92 rate:1.945 new_rtt13.426 c:0.903 rttpred:14429.082 rtttarget:13361.000 rttmin12361.000 e:0.065 eold:-0.707 eavg:-1.323 tim:10
node:92 rate:1.756 new_rtt13.226 c:1.026 rttpred:12650.177 rtttarget:13361.000 rttmin12361.000 e:-0.135 eold:0.065 eavg:-0.777 tim:11
node:92 rate:1.801 new_rtt12.940 c:1.066 rttpred:12366.217 rtttarget:13361.000 rttmin12361.000 e:-0.421 eold:-0.135 eavg:-0.491 tim:12
node:92 rate:1.920 new_rtt12.438 c:1.128 rttpred:11686.720 rtttarget:13361.000 rttmin12361.000 e:-0.923 eold:-0.421 eavg:-1.479 tim:13
node:92 rate:2.165 new_rtt12.937 c:0.975 rttpred:13550.575 rtttarget:13361.000 rttmin12361.000 e:-0.424 eold:-0.923 eavg:-1.768 tim:14
node:92 rate:2.110 new_rtt15.160 c:0.602 rttpred:18373.227 rtttarget:13361.000 rttmin12361.000 e:1.799 eold:-0.424 eavg:0.452 tim:15
node:92 rate:1.000 new_rtt12.264 c:0.755 rttpred:12100.822 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:92 rate:1.271 new_rtt15.375 c:0.811 rttpred:13830.234 rtttarget:13361.000 rttmin12361.000 e:2.014 eold:1.799 eavg:3.389 tim:16
node:92 rate:1.000 new_rtt12.264 c:0.877 rttpred:12136.276 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:2
node:92 rate:1.000 new_rtt8.220 c:0.836 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.000 eavg:0.000 tim:1
node:92 rate:1.031 new_rtt12.330 c:1.430 rttpred:9382.628 rtttarget:13330.000 rttmin12330.000 e:-1.000 eold:2.014 eavg:2.813 tim:17
node:92 rate:1.000 new_rtt8.220 c:0.918 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.000 tim:2
node:92 rate:1.000 new_rtt12.264 c:0.914 rttpred:12136.192 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:3.679 tim:3
node:92 rate:1.000 new_rtt8.220 c:0.942 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:2.466 tim:3
node:92 rate:1.474 new_rtt12.498 c:1.068 rttpred:12537.853 rtttarget:13330.000 rttmin12330.000 e:-0.832 eold:-1.000 eavg:0.182 tim:18
node:92 rate:1.000 new_rtt8.220 c:1.289 rttpred:8130.991 rtttarget:9220.000 rttmin8220.000 e:-1.000 eold:0.822 eavg:0.644 tim:4
node:92 rate:1.000 new_rtt12.264 c:1.337 rttpred:12135.205 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.226 eavg:1.453 tim:4
node:92 rate:1.289 new_rtt8.233 c:1.086 rttpred:8161.062 rtttarget:9220.000 rttmin8220.000 e:-0.987 eold:-1.000 eavg:-1.165 tim:5
node:92 rate:1.000 new_rtt12.264 c:0.755 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:92 rate:1.574 new_rtt13.280 c:0.908 rttpred:14388.466 rtttarget:13330.000 rttmin12330.000 e:-0.050 eold:-0.832 eavg:-1.882 tim:19
node:92 rate:1.399 new_rtt8.220 c:1.071 rttpred:8110.844 rtttarget:9220.000 rttmin8220.000 e:-1.000 eold:-0.987 eavg:-2.987 tim:6
node:92 rate:1.337 new_rtt12.264 c:1.092 rttpred:12134.411 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-0.774 tim:5
node:92 rate:1.000 new_rtt12.264 c:0.877 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:2
node:92 rate:1.429 new_rtt13.113 c:1.027 rttpred:12778.709 rtttarget:13330.000 rttmin12330.000 e:-0.217 eold:-0.050 eavg:-1.099 tim:20
node:92 rate:1.499 new_rtt8.220 c:1.070 rttpred:8131.055 rtttarget:9220.000 rttmin8220.000 e:-1.000 eold:-1.000 eavg:-2.987 tim:7
node:92 rate:1.461 new_rtt12.264 c:1.070 rttpred:12133.774 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:6
node:92 rate:1.000 new_rtt12.267 c:0.914 rttpred:12138.138 rtttarget:11037.600 rttmin12264.000 e:1.229 eold:1.226 eavg:3.682 tim:3
node:92 rate:1.604 new_rtt8.220 c:1.070 rttpred:8131.562 rtttarget:9220.000 rttmin8220.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:8
node:92 rate:1.469 new_rtt12.834 c:1.070 rttpred:12365.394 rtttarget:13330.000 rttmin12330.000 e:-0.496 eold:-0.217 eavg:-0.763 tim:21
node:92 rate:1.563 new_rtt12.264 c:1.070 rttpred:12133.262 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:7
node:92 rate:1.000 new_rtt12.264 c:1.337 rttpred:12126.558 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.229 eavg:1.456 tim:4
