node:175 rate:1.000 new_rtt12.294 c:0.754 rttpred:12160.877 rtttarget:11064.600 rttmin12294.000 e:1.229 eold:0.000 eavg:0.000 tim:1
node:175 rate:1.000 new_rtt12.277 c:0.877 rttpred:12121.599 rtttarget:11049.300 rttmin12277.000 e:1.228 eold:1.229 eavg:0.000 tim:2
node:175 rate:1.000 new_rtt12.264 c:0.914 rttpred:12117.793 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.228 eavg:3.683 tim:3
node:175 rate:1.000 new_rtt12.264 c:1.337 rttpred:12137.727 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.226 eavg:1.454 tim:4
node:175 rate:1.337 new_rtt12.274 c:1.090 rttpred:12160.121 rtttarget:13264.000 rttmin12264.000 e:-0.990 eold:-1.000 eavg:-0.764 tim:5
node:175 rate:1.458 new_rtt12.264 c:1.071 rttpred:12120.375 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.990 eavg:-2.990 tim:6
node:175 rate:1.000 new_rtt12.313 c:0.748 rttpred:12223.395 rtttarget:11052.000 rttmin12280.000 e:1.261 eold:0.000 eavg:0.000 tim:1
node:175 rate:1.562 new_rtt12.264 c:1.070 rttpred:12134.948 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-2.990 tim:7
node:175 rate:1.000 new_rtt12.264 c:0.881 rttpred:12058.933 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.261 eavg:0.000 tim:2
node:175 rate:1.671 new_rtt12.288 c:1.065 rttpred:12190.179 rtttarget:13264.000 rttmin12264.000 e:-0.976 eold:-1.000 eavg:-2.976 tim:8
node:175 rate:1.000 new_rtt12.264 c:0.914 rttpred:12134.884 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:3.714 tim:3
node:175 rate:1.781 new_rtt12.282 c:1.069 rttpred:12138.382 rtttarget:13264.000 rttmin12264.000 e:-0.982 eold:-0.976 eavg:-2.958 tim:9
node:175 rate:1.000 new_rtt12.264 c:1.337 rttpred:12136.106 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.226 eavg:1.453 tim:4
node:175 rate:1.904 new_rtt12.264 c:1.072 rttpred:12105.719 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.982 eavg:-2.958 tim:10
node:175 rate:2.041 new_rtt12.289 c:1.065 rttpred:12191.886 rtttarget:13264.000 rttmin12264.000 e:-0.975 eold:-1.000 eavg:-2.957 tim:11
node:175 rate:1.337 new_rtt12.264 c:1.092 rttpred:12135.136 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-0.774 tim:5
node:175 rate:2.175 new_rtt12.264 c:1.073 rttpred:12095.520 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.975 eavg:-2.975 tim:12
node:175 rate:1.461 new_rtt12.264 c:1.070 rttpred:12134.356 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:6
node:175 rate:2.333 new_rtt12.275 c:1.068 rttpred:12159.141 rtttarget:13264.000 rttmin12264.000 e:-0.989 eold:-1.000 eavg:-2.964 tim:13
node:175 rate:1.563 new_rtt12.264 c:1.070 rttpred:12133.729 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:7
node:175 rate:2.492 new_rtt12.264 c:1.071 rttpred:12117.215 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.989 eavg:-2.989 tim:14
node:175 rate:1.672 new_rtt12.399 c:1.044 rttpred:12446.794 rtttarget:13264.000 rttmin12264.000 e:-0.865 eold:-1.000 eavg:-2.865 tim:8
node:175 rate:2.670 new_rtt12.346 c:1.055 rttpred:12323.710 rtttarget:13264.000 rttmin12264.000 e:-0.918 eold:-1.000 eavg:-2.907 tim:15
node:175 rate:1.000 new_rtt12.264 c:0.755 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:175 rate:1.746 new_rtt12.264 c:1.085 rttpred:11921.876 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.865 eavg:-2.865 tim:9
