node:56 rate:1.000 new_rtt4.130 c:0.917 rttpred:4024.902 rtttarget:3717.000 rttmin4130.000 e:0.413 eold:0.000 eavg:0.000 tim:1
node:56 rate:1.000 new_rtt12.264 c:0.755 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:56 rate:1.000 new_rtt12.264 c:0.877 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:2
node:56 rate:1.000 new_rtt12.264 c:0.914 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:3.679 tim:3
node:56 rate:1.000 new_rtt12.264 c:1.337 rttpred:12131.202 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.226 eavg:1.453 tim:4
node:56 rate:1.337 new_rtt12.264 c:1.092 rttpred:12131.202 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-0.774 tim:5
node:56 rate:1.461 new_rtt12.264 c:1.070 rttpred:12131.202 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:6
node:56 rate:1.563 new_rtt12.264 c:1.070 rttpred:12131.202 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:7
node:56 rate:1.672 new_rtt12.264 c:1.070 rttpred:12131.202 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:8
node:56 rate:1.789 new_rtt12.281 c:1.067 rttpred:12170.522 rtttarget:13264.000 rttmin12264.000 e:-0.983 eold:-1.000 eavg:-2.983 tim:9
node:56 rate:1.909 new_rtt12.264 c:1.072 rttpred:12104.860 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.983 eavg:-2.983 tim:10
node:56 rate:2.046 new_rtt12.264 c:1.070 rttpred:12131.285 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-2.983 tim:11
node:56 rate:2.189 new_rtt12.264 c:1.070 rttpred:12131.948 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:12
node:56 rate:2.343 new_rtt12.284 c:1.066 rttpred:12178.070 rtttarget:13264.000 rttmin12264.000 e:-0.980 eold:-1.000 eavg:-2.980 tim:13
node:56 rate:2.498 new_rtt12.275 c:1.070 rttpred:12126.102 rtttarget:13264.000 rttmin12264.000 e:-0.989 eold:-0.980 eavg:-2.969 tim:14
node:56 rate:2.673 new_rtt12.264 c:1.071 rttpred:12114.692 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.989 eavg:-2.969 tim:15
node:56 rate:2.864 new_rtt12.264 c:1.070 rttpred:12132.435 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-2.989 tim:16
node:56 rate:1.000 new_rtt12.264 c:0.755 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:56 rate:3.065 new_rtt12.264 c:1.070 rttpred:12132.629 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:17
node:56 rate:1.000 new_rtt12.312 c:0.868 rttpred:12242.332 rtttarget:11037.600 rttmin12264.000 e:1.274 eold:1.226 eavg:0.000 tim:2
node:56 rate:3.279 new_rtt12.285 c:1.066 rttpred:12180.937 rtttarget:13264.000 rttmin12264.000 e:-0.979 eold:-1.000 eavg:-2.979 tim:18
node:56 rate:1.000 new_rtt12.264 c:0.919 rttpred:12056.643 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.274 eavg:3.727 tim:3
node:56 rate:3.496 new_rtt12.282 c:1.069 rttpred:12141.177 rtttarget:13264.000 rttmin12264.000 e:-0.982 eold:-0.979 eavg:-2.961 tim:19
node:56 rate:1.000 new_rtt12.264 c:1.338 rttpred:12131.435 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.226 eavg:1.501 tim:4
node:56 rate:3.736 new_rtt12.319 c:1.062 rttpred:12231.314 rtttarget:13264.000 rttmin12264.000 e:-0.945 eold:-0.982 eavg:-2.906 tim:20
node:56 rate:3.967 new_rtt12.338 c:1.062 rttpred:12218.368 rtttarget:13264.000 rttmin12264.000 e:-0.926 eold:-0.945 eavg:-2.853 tim:21
node:56 rate:1.338 new_rtt12.264 c:1.092 rttpred:12133.301 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-0.774 tim:5
node:56 rate:4.214 new_rtt12.286 c:1.075 rttpred:12069.730 rtttarget:13264.000 rttmin12264.000 e:-0.978 eold:-0.926 eavg:-2.849 tim:22
node:56 rate:1.461 new_rtt12.315 c:1.060 rttpred:12251.023 rtttarget:13264.000 rttmin12264.000 e:-0.949 eold:-1.000 eavg:-2.949 tim:6
node:56 rate:4.528 new_rtt12.329 c:1.061 rttpred:12251.588 rtttarget:13264.000 rttmin12264.000 e:-0.935 eold:-0.978 eavg:-2.839 tim:23
node:56 rate:1.549 new_rtt12.264 c:1.076 rttpred:12053.366 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.949 eavg:-2.949 tim:7
node:56 rate:4.803 new_rtt12.356 c:1.060 rttpred:12249.724 rtttarget:13264.000 rttmin12264.000 e:-0.908 eold:-0.935 eavg:-2.821 tim:24
node:56 rate:1.666 new_rtt12.264 c:1.071 rttpred:12132.514 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-2.949 tim:8
node:56 rate:5.091 new_rtt12.264 c:1.081 rttpred:11995.745 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.908 eavg:-2.843 tim:25
node:56 rate:1.784 new_rtt12.264 c:1.070 rttpred:12134.284 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:9
node:56 rate:5.502 new_rtt12.364 c:1.052 rttpred:12370.088 rtttarget:13264.000 rttmin12264.000 e:-0.900 eold:-1.000 eavg:-2.808 tim:26
