node:199 rate:1.000 new_rtt8.040 c:0.839 rttpred:7718.507 rtttarget:7236.000 rttmin8040.000 e:0.804 eold:0.000 eavg:0.000 tim:1
node:199 rate:1.000 new_rtt12.270 c:0.754 rttpred:12145.075 rtttarget:11037.600 rttmin12264.000 e:1.232 eold:0.000 eavg:0.000 tim:1
node:199 rate:1.000 new_rtt12.320 c:0.867 rttpred:12251.553 rtttarget:11037.600 rttmin12264.000 e:1.282 eold:1.232 eavg:0.000 tim:2
node:199 rate:1.000 new_rtt12.264 c:0.920 rttpred:12044.260 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.282 eavg:3.741 tim:3
node:199 rate:1.000 new_rtt12.264 c:1.338 rttpred:12131.733 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.226 eavg:1.509 tim:4
node:199 rate:1.000 new_rtt8.220 c:0.836 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.000 eavg:0.000 tim:1
node:199 rate:1.338 new_rtt12.325 c:1.081 rttpred:12275.242 rtttarget:13264.000 rttmin12264.000 e:-0.939 eold:-1.000 eavg:-0.713 tim:5
node:199 rate:1.000 new_rtt8.220 c:0.918 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.000 tim:2
node:199 rate:1.446 new_rtt12.271 c:1.075 rttpred:12054.722 rtttarget:13264.000 rttmin12264.000 e:-0.993 eold:-0.939 eavg:-2.932 tim:6
node:199 rate:1.000 new_rtt8.220 c:0.942 rttpred:8130.991 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:2.466 tim:3
node:199 rate:1.000 new_rtt8.220 c:1.289 rttpred:8130.991 rtttarget:9220.000 rttmin8220.000 e:-1.000 eold:0.822 eavg:0.644 tim:4
node:199 rate:1.555 new_rtt12.264 c:1.071 rttpred:12122.435 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.993 eavg:-2.932 tim:7
node:199 rate:1.289 new_rtt8.166 c:1.088 rttpred:8006.479 rtttarget:9166.000 rttmin8166.000 e:-1.000 eold:-1.000 eavg:-1.178 tim:5
node:199 rate:1.666 new_rtt12.280 c:1.067 rttpred:12172.267 rtttarget:13264.000 rttmin12264.000 e:-0.984 eold:-1.000 eavg:-2.977 tim:8
node:199 rate:1.000 new_rtt12.264 c:0.755 rttpred:12108.739 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:199 rate:1.777 new_rtt12.283 c:1.068 rttpred:12153.924 rtttarget:13264.000 rttmin12264.000 e:-0.981 eold:-0.984 eavg:-2.965 tim:9
node:199 rate:1.000 new_rtt12.264 c:0.877 rttpred:12134.971 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:2
node:199 rate:1.898 new_rtt12.269 c:1.071 rttpred:12116.292 rtttarget:13264.000 rttmin12264.000 e:-0.995 eold:-0.981 eavg:-2.960 tim:10
node:199 rate:1.000 new_rtt12.264 c:0.914 rttpred:12134.903 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:3.679 tim:3
node:199 rate:2.034 new_rtt12.264 c:1.071 rttpred:12126.524 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.995 eavg:-2.976 tim:11
node:199 rate:2.178 new_rtt12.270 c:1.069 rttpred:12148.291 rtttarget:13264.000 rttmin12264.000 e:-0.994 eold:-1.000 eavg:-2.989 tim:12
node:199 rate:1.000 new_rtt12.264 c:1.337 rttpred:12134.169 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.226 eavg:1.453 tim:4
node:199 rate:1.000 new_rtt12.264 c:0.755 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:199 rate:1.337 new_rtt12.264 c:1.092 rttpred:12133.579 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-0.774 tim:5
node:199 rate:1.000 new_rtt12.264 c:0.877 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:2
node:199 rate:1.461 new_rtt12.264 c:1.070 rttpred:12133.106 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:6
node:199 rate:1.000 new_rtt12.264 c:0.914 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:3.679 tim:3
node:199 rate:1.563 new_rtt12.264 c:1.070 rttpred:12132.727 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-3.000 tim:7
node:199 rate:1.000 new_rtt12.277 c:1.335 rttpred:12161.266 rtttarget:13264.000 rttmin12264.000 e:-0.987 eold:1.226 eavg:1.466 tim:4
node:199 rate:1.672 new_rtt12.344 c:1.055 rttpred:12317.886 rtttarget:13264.000 rttmin12264.000 e:-0.920 eold:-1.000 eavg:-2.920 tim:8
node:199 rate:1.764 new_rtt12.266 c:1.078 rttpred:12012.268 rtttarget:13264.000 rttmin12264.000 e:-0.998 eold:-0.920 eavg:-2.918 tim:9
node:199 rate:1.335 new_rtt12.306 c:1.086 rttpred:12208.213 rtttarget:13264.000 rttmin12264.000 e:-0.958 eold:-0.987 eavg:-0.719 tim:5
node:199 rate:1.449 new_rtt12.264 c:1.075 rttpred:12066.170 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.958 eavg:-2.945 tim:6
node:199 rate:1.902 new_rtt12.280 c:1.068 rttpred:12166.110 rtttarget:13264.000 rttmin12264.000 e:-0.984 eold:-0.998 eavg:-2.902 tim:10
node:199 rate:1.000 new_rtt12.632 c:0.747 rttpred:11729.814 rtttarget:11368.800 rttmin12632.000 e:1.263 eold:0.000 eavg:0.000 tim:1
