node:159 rate:1.000 new_rtt14.784 c:0.704 rttpred:13453.817 rtttarget:13305.600 rttmin14784.000 e:1.478 eold:0.000 eavg:0.000 tim:1
node:159 rate:1.000 new_rtt12.432 c:0.899 rttpred:9741.056 rtttarget:11188.800 rttmin12432.000 e:1.243 eold:1.478 eavg:0.000 tim:2
node:159 rate:1.000 new_rtt12.348 c:0.917 rttpred:11952.640 rtttarget:11113.200 rttmin12348.000 e:1.235 eold:1.243 eavg:3.956 tim:3
node:159 rate:1.000 new_rtt13.462 c:1.127 rttpred:14756.443 rtttarget:13348.000 rttmin12348.000 e:0.114 eold:1.235 eavg:2.592 tim:4
node:159 rate:1.127 new_rtt12.405 c:1.204 rttpred:11015.501 rtttarget:13348.000 rttmin12348.000 e:-0.943 eold:0.114 eavg:0.406 tim:5
node:159 rate:1.356 new_rtt13.216 c:0.922 rttpred:14185.103 rtttarget:13348.000 rttmin12348.000 e:-0.132 eold:-0.943 eavg:-0.961 tim:6
node:159 rate:1.251 new_rtt12.264 c:1.166 rttpred:10977.979 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.132 eavg:-2.075 tim:7
node:159 rate:1.459 new_rtt13.339 c:0.874 rttpred:14725.250 rtttarget:13264.000 rttmin12264.000 e:0.075 eold:-1.000 eavg:-1.057 tim:8
node:159 rate:1.276 new_rtt13.436 c:0.966 rttpred:13519.252 rtttarget:13264.000 rttmin12264.000 e:0.172 eold:0.075 eavg:-0.753 tim:9
node:159 rate:1.232 new_rtt13.617 c:0.953 rttpred:13711.282 rtttarget:13264.000 rttmin12264.000 e:0.353 eold:0.172 eavg:0.600 tim:10
node:159 rate:1.174 new_rtt13.323 c:1.029 rttpred:12743.243 rtttarget:13264.000 rttmin12264.000 e:0.059 eold:0.353 eavg:0.584 tim:11
node:159 rate:1.208 new_rtt12.420 c:1.170 rttpred:11196.413 rtttarget:13264.000 rttmin12264.000 e:-0.844 eold:0.059 eavg:-0.432 tim:12
node:159 rate:1.414 new_rtt12.512 c:1.051 rttpred:12580.543 rtttarget:13264.000 rttmin12264.000 e:-0.752 eold:-0.844 eavg:-1.537 tim:13
node:159 rate:1.485 new_rtt14.135 c:0.743 rttpred:16517.632 rtttarget:13264.000 rttmin12264.000 e:0.871 eold:-0.752 eavg:-0.725 tim:14
node:159 rate:1.104 new_rtt15.978 c:0.573 rttpred:18099.455 rtttarget:13264.000 rttmin12264.000 e:2.714 eold:0.871 eavg:2.833 tim:15
