node:196 rate:1.000 new_rtt12.314 c:0.754 rttpred:12180.660 rtttarget:11082.600 rttmin12314.000 e:1.231 eold:0.000 eavg:0.000 tim:1
node:196 rate:1.000 new_rtt12.264 c:0.878 rttpred:12065.257 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.231 eavg:0.000 tim:2
node:196 rate:1.000 new_rtt12.264 c:0.755 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:196 rate:1.000 new_rtt12.264 c:0.914 rttpred:12141.989 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:3.684 tim:3
node:196 rate:1.000 new_rtt12.264 c:0.755 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:196 rate:1.000 new_rtt12.264 c:0.877 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:2
node:196 rate:1.000 new_rtt12.264 c:1.337 rttpred:12141.878 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.226 eavg:1.453 tim:4
node:196 rate:1.000 new_rtt12.264 c:0.877 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:2
node:196 rate:1.000 new_rtt12.264 c:0.914 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:3.679 tim:3
node:196 rate:1.337 new_rtt12.264 c:1.092 rttpred:12139.794 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-0.774 tim:5
node:196 rate:1.000 new_rtt12.264 c:0.914 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:3.679 tim:3
node:196 rate:1.000 new_rtt12.275 c:1.335 rttpred:12156.640 rtttarget:13264.000 rttmin12264.000 e:-0.989 eold:1.226 eavg:1.464 tim:4
