node:189 rate:10.000 new_rtt12.174 c:-0.852 rttpred:11851.958 rtttarget:10956.600 rttmin12174.000 e:1.217 eold:0.000 eavg:0.000 tim:1
node:189 rate:10.000 new_rtt8.297 c:-0.622 rttpred:8294.917 rtttarget:7407.900 rttmin8231.000 e:0.889 eold:0.000 eavg:0.000 tim:1
node:189 rate:10.000 new_rtt12.276 c:-0.867 rttpred:12158.953 rtttarget:11037.600 rttmin12264.000 e:1.238 eold:0.000 eavg:0.000 tim:1
node:189 rate:9.689 new_rtt8.220 c:-0.309 rttpred:8013.683 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.889 eavg:0.000 tim:2
node:189 rate:9.534 new_rtt8.241 c:-0.344 rttpred:8181.965 rtttarget:7398.000 rttmin8220.000 e:0.843 eold:0.822 eavg:0.000 tim:3
node:189 rate:9.567 new_rtt12.276 c:-0.495 rttpred:12140.347 rtttarget:11037.600 rttmin12264.000 e:1.238 eold:1.238 eavg:0.000 tim:2
node:189 rate:9.363 new_rtt8.220 c:-0.322 rttpred:8103.760 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.843 eavg:0.000 tim:4
node:189 rate:9.319 new_rtt12.326 c:-0.530 rttpred:12256.101 rtttarget:11037.600 rttmin12264.000 e:1.288 eold:1.238 eavg:0.000 tim:3
node:189 rate:9.054 new_rtt12.264 c:-0.472 rttpred:12035.554 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.288 eavg:0.000 tim:4
node:189 rate:8.818 new_rtt12.264 c:-0.491 rttpred:12132.435 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:5
node:189 rate:8.572 new_rtt12.321 c:-0.530 rttpred:12266.782 rtttarget:11037.600 rttmin12264.000 e:1.283 eold:1.226 eavg:0.000 tim:6
node:189 rate:8.307 new_rtt12.264 c:-0.473 rttpred:12045.497 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.283 eavg:0.000 tim:7
node:189 rate:8.070 new_rtt12.283 c:-0.505 rttpred:12177.479 rtttarget:11037.600 rttmin12264.000 e:1.245 eold:1.226 eavg:0.138 tim:8
node:189 rate:7.818 new_rtt12.264 c:1.073 rttpred:12106.066 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.245 eavg:0.025 tim:9
node:189 rate:8.355 new_rtt12.279 c:0.390 rttpred:12169.363 rtttarget:13264.000 rttmin12264.000 e:-0.985 eold:-1.000 eavg:-0.067 tim:10
node:189 rate:8.550 new_rtt12.264 c:0.406 rttpred:12111.555 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.985 eavg:-0.145 tim:11
node:189 rate:8.753 new_rtt12.264 c:0.402 rttpred:12134.109 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-0.211 tim:12
node:189 rate:8.954 new_rtt12.264 c:0.403 rttpred:12134.131 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-1.000 eavg:-0.267 tim:13
node:189 rate:9.155 new_rtt12.274 c:0.396 rttpred:12156.688 rtttarget:13264.000 rttmin12264.000 e:-0.990 eold:-1.000 eavg:-0.315 tim:14
node:189 rate:9.353 new_rtt12.309 c:0.375 rttpred:12221.779 rtttarget:13264.000 rttmin12264.000 e:-0.955 eold:-0.990 eavg:-0.355 tim:15
node:189 rate:9.541 new_rtt12.264 c:0.417 rttpred:12063.017 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.955 eavg:-0.393 tim:16
node:189 rate:10.000 new_rtt8.220 c:-0.575 rttpred:8113.817 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.000 eavg:0.000 tim:1
node:189 rate:10.000 new_rtt46.255 c:-26.935 rttpred:55264.779 rtttarget:7776.000 rttmin8640.000 e:38.479 eold:0.000 eavg:0.000 tim:1
node:189 rate:1.000 new_rtt270.630 c:-172.454 rttpred:112643.769 rtttarget:7776.000 rttmin8640.000 e:262.854 eold:38.479 eavg:0.000 tim:2
node:189 rate:10.000 new_rtt12.275 c:-0.859 rttpred:12138.116 rtttarget:11047.500 rttmin12275.000 e:1.228 eold:0.000 eavg:0.000 tim:1
node:189 rate:9.570 new_rtt12.264 c:-0.490 rttpred:12117.336 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.228 eavg:0.000 tim:2
node:189 rate:9.325 new_rtt12.285 c:-0.505 rttpred:12182.885 rtttarget:11037.600 rttmin12264.000 e:1.247 eold:1.226 eavg:0.000 tim:3
node:189 rate:10.000 new_rtt4.250 c:-0.325 rttpred:4262.580 rtttarget:3785.400 rttmin4206.000 e:0.465 eold:0.000 eavg:0.000 tim:1
node:189 rate:9.837 new_rtt4.176 c:-0.153 rttpred:4023.063 rtttarget:3758.400 rttmin4176.000 e:0.418 eold:0.465 eavg:0.000 tim:2
node:189 rate:9.761 new_rtt4.176 c:-0.167 rttpred:4137.052 rtttarget:3758.400 rttmin4176.000 e:0.418 eold:0.418 eavg:0.000 tim:3
node:189 rate:9.677 new_rtt4.176 c:-0.167 rttpred:4138.754 rtttarget:3758.400 rttmin4176.000 e:0.418 eold:0.418 eavg:0.000 tim:4
node:189 rate:9.594 new_rtt4.176 c:-0.167 rttpred:4137.248 rtttarget:3758.400 rttmin4176.000 e:0.418 eold:0.418 eavg:0.000 tim:5
node:189 rate:9.510 new_rtt4.184 c:-0.173 rttpred:4154.594 rtttarget:3758.400 rttmin4176.000 e:0.426 eold:0.418 eavg:0.000 tim:6
node:189 rate:1.000 new_rtt454.636 c:-233.946 rttpred:83410.272 rtttarget:7776.000 rttmin8640.000 e:446.860 eold:262.854 eavg:0.000 tim:3
