node:121 rate:10.000 new_rtt12.305 c:-0.861 rttpred:12171.758 rtttarget:11074.500 rttmin12305.000 e:1.230 eold:0.000 eavg:0.000 tim:1
node:121 rate:9.569 new_rtt12.276 c:-0.490 rttpred:12104.779 rtttarget:11048.400 rttmin12276.000 e:1.228 eold:1.230 eavg:0.000 tim:2
node:121 rate:9.324 new_rtt12.264 c:-0.490 rttpred:12121.713 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.228 eavg:0.000 tim:3
node:121 rate:9.079 new_rtt12.264 c:-0.491 rttpred:12140.036 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:4
node:121 rate:8.834 new_rtt12.273 c:-0.497 rttpred:12159.637 rtttarget:11037.600 rttmin12264.000 e:1.235 eold:1.226 eavg:0.000 tim:5
node:121 rate:8.585 new_rtt12.264 c:-0.488 rttpred:12123.401 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.235 eavg:0.000 tim:6
node:121 rate:8.342 new_rtt12.314 c:-0.526 rttpred:12251.976 rtttarget:11037.600 rttmin12264.000 e:1.276 eold:1.226 eavg:0.000 tim:7
node:121 rate:8.079 new_rtt12.284 c:-0.491 rttpred:12104.192 rtttarget:11037.600 rttmin12264.000 e:1.246 eold:1.276 eavg:0.138 tim:8
node:121 rate:7.833 new_rtt12.264 c:1.074 rttpred:12104.120 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:1.246 eavg:0.025 tim:9
node:121 rate:8.370 new_rtt12.360 c:0.333 rttpred:12358.800 rtttarget:13264.000 rttmin12264.000 e:-0.904 eold:-1.000 eavg:-0.060 tim:10
node:121 rate:8.537 new_rtt12.340 c:0.377 rttpred:12162.056 rtttarget:13264.000 rttmin12264.000 e:-0.924 eold:-0.904 eavg:-0.132 tim:11
node:121 rate:8.725 new_rtt12.393 c:0.334 rttpred:12315.416 rtttarget:13264.000 rttmin12264.000 e:-0.871 eold:-0.924 eavg:-0.189 tim:12
node:121 rate:8.892 new_rtt12.270 c:0.437 rttpred:11953.487 rtttarget:13264.000 rttmin12264.000 e:-0.994 eold:-0.871 eavg:-0.246 tim:13
node:121 rate:9.111 new_rtt12.297 c:0.382 rttpred:12207.323 rtttarget:13264.000 rttmin12264.000 e:-0.967 eold:-0.994 eavg:-0.294 tim:14
node:121 rate:10.000 new_rtt12.358 c:-0.883 rttpred:12262.599 rtttarget:11096.100 rttmin12329.000 e:1.262 eold:0.000 eavg:0.000 tim:1
node:121 rate:9.558 new_rtt12.394 c:-0.530 rttpred:12300.837 rtttarget:11096.100 rttmin12329.000 e:1.298 eold:1.262 eavg:0.000 tim:2
node:121 rate:9.293 new_rtt12.264 c:-0.469 rttpred:11945.832 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.298 eavg:0.000 tim:3
node:121 rate:10.000 new_rtt12.299 c:-0.876 rttpred:12197.606 rtttarget:11047.500 rttmin12275.000 e:1.252 eold:0.000 eavg:0.000 tim:1
node:121 rate:9.562 new_rtt12.534 c:-0.665 rttpred:12707.576 rtttarget:11047.500 rttmin12275.000 e:1.486 eold:1.252 eavg:0.000 tim:2
node:121 rate:9.229 new_rtt72.349 c:-42.465 rttpred:83084.605 rtttarget:11047.500 rttmin12275.000 e:61.301 eold:1.486 eavg:0.000 tim:3
node:121 rate:10.000 new_rtt239.011 c:-141.577 rttpred:277118.684 rtttarget:36757.800 rttmin40842.000 e:202.253 eold:0.000 eavg:0.000 tim:1
node:121 rate:1.000 new_rtt394.535 c:-250.051 rttpred:159179.590 rtttarget:11047.500 rttmin12275.000 e:383.488 eold:61.301 eavg:0.000 tim:4
node:121 rate:1.000 new_rtt320.733 c:-101.734 rttpred:71357.916 rtttarget:11047.500 rttmin12275.000 e:309.685 eold:383.488 eavg:0.000 tim:5
node:121 rate:1.000 new_rtt198.388 c:-38.233 rttpred:90531.549 rtttarget:11047.500 rttmin12275.000 e:187.340 eold:309.685 eavg:0.000 tim:6
node:121 rate:1.000 new_rtt131.122 c:-27.850 rttpred:102571.062 rtttarget:11047.500 rttmin12275.000 e:120.075 eold:187.340 eavg:0.000 tim:7
node:121 rate:10.000 new_rtt540.570 c:-135.073 rttpred:762161.080 rtttarget:347607.900 rttmin386231.000 e:192.962 eold:0.000 eavg:0.000 tim:1
node:121 rate:10.000 new_rtt80.934 c:-5.665 rttpred:46789.338 rtttarget:72840.600 rttmin80934.000 e:8.093 eold:0.000 eavg:0.000 tim:1
node:121 rate:7.167 new_rtt59.865 c:-1.763 rttpred:39900.401 rtttarget:53878.500 rttmin59865.000 e:5.987 eold:8.093 eavg:0.000 tim:2
node:121 rate:10.000 new_rtt35.079 c:-2.456 rttpred:23862.331 rtttarget:31571.100 rttmin35079.000 e:3.508 eold:0.000 eavg:0.000 tim:1
node:121 rate:10.000 new_rtt24.212 c:-1.695 rttpred:15488.479 rtttarget:21790.800 rttmin24212.000 e:2.421 eold:0.000 eavg:0.000 tim:1
node:121 rate:10.000 new_rtt507.105 c:-207.130 rttpred:795810.476 rtttarget:211204.800 rttmin234672.000 e:295.900 eold:0.000 eavg:0.000 tim:1
node:121 rate:10.000 new_rtt4.905 c:-0.771 rttpred:5826.742 rtttarget:3803.400 rttmin4226.000 e:1.102 eold:0.000 eavg:0.000 tim:1
node:121 rate:9.614 new_rtt5.624 c:-0.944 rttpred:6000.926 rtttarget:3803.400 rttmin4226.000 e:1.821 eold:1.102 eavg:0.000 tim:2
node:121 rate:9.142 new_rtt8.226 c:-2.550 rttpred:8341.144 rtttarget:3803.400 rttmin4226.000 e:4.423 eold:1.821 eavg:0.000 tim:3
node:121 rate:10.000 new_rtt17.680 c:-4.027 rttpred:24033.466 rtttarget:11927.700 rttmin13253.000 e:5.752 eold:0.000 eavg:0.000 tim:1
node:121 rate:7.868 new_rtt11.888 c:-4.332 rttpred:6195.914 rtttarget:3803.400 rttmin4226.000 e:8.085 eold:4.423 eavg:0.000 tim:4
node:121 rate:5.701 new_rtt15.439 c:-5.720 rttpred:5717.270 rtttarget:3803.400 rttmin4226.000 e:11.636 eold:8.085 eavg:0.000 tim:5
node:121 rate:7.987 new_rtt23.684 c:-6.504 rttpred:23651.852 rtttarget:11927.700 rttmin13253.000 e:11.756 eold:5.752 eavg:0.000 tim:2
node:121 rate:2.842 new_rtt13.663 c:-3.411 rttpred:5949.714 rtttarget:3803.400 rttmin4226.000 e:9.860 eold:11.636 eavg:0.000 tim:6
node:121 rate:1.136 new_rtt8.916 c:-0.621 rttpred:6603.133 rtttarget:3803.400 rttmin4226.000 e:5.113 eold:9.860 eavg:0.000 tim:7
node:121 rate:1.000 new_rtt4.386 c:1.125 rttpred:5726.024 rtttarget:3803.400 rttmin4226.000 e:0.583 eold:5.113 eavg:0.065 tim:8
node:121 rate:1.563 new_rtt4.336 c:0.798 rttpred:3491.903 rtttarget:5226.000 rttmin4226.000 e:-0.890 eold:0.583 eavg:-0.031 tim:9
node:121 rate:1.962 new_rtt4.649 c:0.138 rttpred:4410.497 rtttarget:5226.000 rttmin4226.000 e:-0.577 eold:-0.890 eavg:-0.080 tim:10
node:121 rate:10.000 new_rtt522.019 c:-252.835 rttpred:766908.170 rtttarget:160826.400 rttmin178696.000 e:361.193 eold:0.000 eavg:0.000 tim:1
node:121 rate:2.031 new_rtt6.215 c:-0.865 rttpred:7356.232 rtttarget:5226.000 rttmin4226.000 e:0.989 eold:-0.577 eavg:0.009 tim:11
