node:8 rate:10.000 new_rtt8.284 c:-0.620 rttpred:8279.385 rtttarget:7398.000 rttmin8220.000 e:0.886 eold:0.000 eavg:0.000 tim:1
node:8 rate:10.000 new_rtt12.268 c:-0.859 rttpred:12129.869 rtttarget:11041.200 rttmin12268.000 e:1.227 eold:0.000 eavg:0.000 tim:1
node:8 rate:9.690 new_rtt8.220 c:-0.310 rttpred:8031.209 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.886 eavg:0.000 tim:2
node:8 rate:9.571 new_rtt12.264 c:-0.490 rttpred:12126.809 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.227 eavg:0.000 tim:2
node:8 rate:9.535 new_rtt8.220 c:-0.329 rttpred:8131.298 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.000 tim:3
node:8 rate:9.371 new_rtt8.220 c:-0.329 rttpred:8133.775 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.000 tim:4
node:8 rate:9.325 new_rtt12.264 c:-0.491 rttpred:12132.971 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:3
node:8 rate:9.206 new_rtt8.220 c:-0.329 rttpred:8133.223 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.000 tim:5
node:8 rate:10.000 new_rtt12.264 c:-0.858 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:8 rate:9.080 new_rtt12.264 c:-0.491 rttpred:12132.778 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:4
node:8 rate:9.042 new_rtt8.220 c:-0.329 rttpred:8132.780 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.000 tim:6
node:8 rate:9.571 new_rtt12.284 c:-0.505 rttpred:12177.465 rtttarget:11037.600 rttmin12264.000 e:1.246 eold:1.226 eavg:0.000 tim:2
node:8 rate:8.878 new_rtt8.220 c:-0.329 rttpred:8132.424 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.000 tim:7
