node:162 rate:10.000 new_rtt8.261 c:-0.578 rttpred:8171.547 rtttarget:7434.900 rttmin8261.000 e:0.826 eold:0.000 eavg:0.000 tim:1
node:162 rate:9.711 new_rtt8.220 c:-0.328 rttpred:8076.950 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.826 eavg:0.000 tim:2
node:162 rate:10.000 new_rtt12.264 c:-0.858 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:162 rate:9.547 new_rtt8.220 c:-0.329 rttpred:8139.755 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.000 tim:3
node:162 rate:9.383 new_rtt8.220 c:-0.329 rttpred:8139.688 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.000 tim:4
node:162 rate:9.571 new_rtt12.264 c:-0.491 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:2
node:162 rate:9.218 new_rtt8.220 c:-0.329 rttpred:8137.999 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.000 tim:5
node:162 rate:9.325 new_rtt12.264 c:-0.491 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:3
node:162 rate:9.054 new_rtt8.220 c:-0.329 rttpred:8136.630 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.000 tim:6
node:162 rate:8.889 new_rtt8.220 c:-0.329 rttpred:8135.524 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.000 tim:7
node:162 rate:9.080 new_rtt12.264 c:-0.491 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:4
node:162 rate:8.725 new_rtt8.220 c:-0.330 rttpred:8134.631 rtttarget:7398.000 rttmin8220.000 e:0.822 eold:0.822 eavg:0.091 tim:8
node:162 rate:8.835 new_rtt12.264 c:-0.491 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:5
node:162 rate:8.590 new_rtt12.252 c:-0.490 rttpred:12103.472 rtttarget:11026.800 rttmin12252.000 e:1.225 eold:1.226 eavg:0.000 tim:6
node:162 rate:10.000 new_rtt12.332 c:-0.863 rttpred:12198.465 rtttarget:11098.800 rttmin12332.000 e:1.233 eold:0.000 eavg:0.000 tim:1
node:162 rate:10.000 new_rtt12.270 c:-0.859 rttpred:12030.490 rtttarget:11043.000 rttmin12270.000 e:1.227 eold:0.000 eavg:0.000 tim:1
node:162 rate:9.568 new_rtt12.281 c:-0.490 rttpred:12080.758 rtttarget:11052.900 rttmin12281.000 e:1.228 eold:1.233 eavg:0.000 tim:2
node:162 rate:9.571 new_rtt12.286 c:-0.502 rttpred:12191.150 rtttarget:11043.000 rttmin12270.000 e:1.243 eold:1.227 eavg:0.000 tim:2
node:162 rate:9.324 new_rtt12.234 c:-0.488 rttpred:12050.561 rtttarget:11010.600 rttmin12234.000 e:1.223 eold:1.228 eavg:0.000 tim:3
node:162 rate:9.320 new_rtt12.274 c:-0.489 rttpred:12138.839 rtttarget:11043.000 rttmin12270.000 e:1.231 eold:1.243 eavg:0.000 tim:3
node:162 rate:9.075 new_rtt12.358 c:-0.551 rttpred:12349.226 rtttarget:11043.000 rttmin12270.000 e:1.315 eold:1.231 eavg:0.000 tim:4
node:162 rate:8.800 new_rtt12.323 c:-0.502 rttpred:12135.131 rtttarget:11043.000 rttmin12270.000 e:1.280 eold:1.315 eavg:0.000 tim:5
