node:89 rate:10.000 new_rtt12.347 c:-0.892 rttpred:12271.636 rtttarget:11072.700 rttmin12303.000 e:1.274 eold:0.000 eavg:0.000 tim:1
node:89 rate:9.554 new_rtt12.264 c:-0.476 rttpred:12011.643 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.274 eavg:0.000 tim:2
node:89 rate:9.316 new_rtt12.264 c:-0.491 rttpred:12139.813 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:3
node:89 rate:9.071 new_rtt12.264 c:-0.491 rttpred:12141.422 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:4
node:89 rate:10.000 new_rtt92.122 c:-55.164 rttpred:104652.926 rtttarget:13316.400 rttmin14796.000 e:78.806 eold:0.000 eavg:0.000 tim:1
node:89 rate:10.000 new_rtt12.264 c:-0.858 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:89 rate:9.571 new_rtt12.264 c:-0.491 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:2
node:89 rate:9.325 new_rtt12.264 c:-0.491 rttpred:12131.202 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.226 eavg:0.000 tim:3
node:89 rate:9.080 new_rtt12.276 c:-0.499 rttpred:12158.953 rtttarget:11037.600 rttmin12264.000 e:1.238 eold:1.226 eavg:0.000 tim:4
node:89 rate:8.831 new_rtt12.381 c:-0.569 rttpred:12383.892 rtttarget:11037.600 rttmin12264.000 e:1.343 eold:1.238 eavg:0.000 tim:5
node:89 rate:8.546 new_rtt12.282 c:-0.468 rttpred:11990.144 rtttarget:11037.600 rttmin12264.000 e:1.244 eold:1.343 eavg:0.000 tim:6
node:89 rate:8.312 new_rtt12.318 c:-0.523 rttpred:12228.798 rtttarget:11037.600 rttmin12264.000 e:1.280 eold:1.244 eavg:0.000 tim:7
node:89 rate:8.051 new_rtt12.377 c:-0.555 rttpred:12314.697 rtttarget:11037.600 rttmin12264.000 e:1.339 eold:1.280 eavg:0.149 tim:8
node:89 rate:7.773 new_rtt12.290 c:1.083 rttpred:12021.510 rtttarget:13264.000 rttmin12264.000 e:-0.974 eold:1.339 eavg:0.037 tim:9
node:89 rate:8.315 new_rtt12.355 c:0.345 rttpred:12307.927 rtttarget:13264.000 rttmin12264.000 e:-0.909 eold:-0.974 eavg:-0.049 tim:10
node:89 rate:8.487 new_rtt12.271 c:0.424 rttpred:12016.731 rtttarget:13264.000 rttmin12264.000 e:-0.993 eold:-0.909 eavg:-0.128 tim:11
node:89 rate:8.699 new_rtt12.301 c:0.378 rttpred:12215.184 rtttarget:13264.000 rttmin12264.000 e:-0.963 eold:-0.993 eavg:-0.192 tim:12
node:89 rate:8.888 new_rtt12.383 c:0.330 rttpred:12361.546 rtttarget:13264.000 rttmin12264.000 e:-0.881 eold:-0.963 eavg:-0.241 tim:13
node:89 rate:9.053 new_rtt12.343 c:0.383 rttpred:12138.305 rtttarget:13264.000 rttmin12264.000 e:-0.921 eold:-0.881 eavg:-0.287 tim:14
node:89 rate:9.245 new_rtt12.284 c:0.413 rttpred:12065.800 rtttarget:13264.000 rttmin12264.000 e:-0.980 eold:-0.921 eavg:-0.330 tim:15
node:89 rate:9.451 new_rtt12.270 c:0.405 rttpred:12126.883 rtttarget:13264.000 rttmin12264.000 e:-0.994 eold:-0.980 eavg:-0.369 tim:16
node:89 rate:9.654 new_rtt12.264 c:0.406 rttpred:12135.107 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.994 eavg:-0.404 tim:17
node:89 rate:9.857 new_rtt12.280 c:0.393 rttpred:12179.679 rtttarget:13264.000 rttmin12264.000 e:-0.984 eold:-1.000 eavg:-0.435 tim:18
node:89 rate:10.054 new_rtt12.282 c:0.397 rttpred:12157.635 rtttarget:13264.000 rttmin12264.000 e:-0.982 eold:-0.984 eavg:-0.462 tim:19
node:89 rate:1.000 new_rtt485.491 c:-306.881 rttpred:197462.587 rtttarget:13316.400 rttmin14796.000 e:472.175 eold:78.806 eavg:0.000 tim:2
node:89 rate:10.000 new_rtt12.308 c:-0.862 rttpred:12106.150 rtttarget:11077.200 rttmin12308.000 e:1.231 eold:0.000 eavg:0.000 tim:1
node:89 rate:9.569 new_rtt12.271 c:-0.490 rttpred:12100.523 rtttarget:11043.900 rttmin12271.000 e:1.227 eold:1.231 eavg:0.000 tim:2
node:89 rate:9.324 new_rtt12.264 c:-0.490 rttpred:12140.481 rtttarget:11037.600 rttmin12264.000 e:1.226 eold:1.227 eavg:0.000 tim:3
node:89 rate:10.000 new_rtt8.362 c:-0.675 rttpred:8461.413 rtttarget:7398.000 rttmin8220.000 e:0.964 eold:0.000 eavg:0.000 tim:1
node:89 rate:9.663 new_rtt8.261 c:-0.315 rttpred:8001.346 rtttarget:7398.000 rttmin8220.000 e:0.863 eold:0.964 eavg:0.000 tim:2
node:89 rate:9.505 new_rtt8.233 c:-0.326 rttpred:8099.263 rtttarget:7398.000 rttmin8220.000 e:0.835 eold:0.863 eavg:0.000 tim:3
node:89 rate:9.342 new_rtt8.295 c:-0.377 rttpred:8290.844 rtttarget:7398.000 rttmin8220.000 e:0.897 eold:0.835 eavg:0.000 tim:4
node:89 rate:9.154 new_rtt8.391 c:-0.426 rttpred:8417.922 rtttarget:7398.000 rttmin8220.000 e:0.993 eold:0.897 eavg:0.000 tim:5
node:89 rate:8.941 new_rtt8.271 c:-0.313 rttpred:7988.197 rtttarget:7398.000 rttmin8220.000 e:0.873 eold:0.993 eavg:0.000 tim:6
node:89 rate:1.000 new_rtt335.281 c:-83.723 rttpred:82251.115 rtttarget:13316.400 rttmin14796.000 e:321.965 eold:472.175 eavg:0.000 tim:3
node:89 rate:10.000 new_rtt12.275 c:-0.859 rttpred:12052.487 rtttarget:11047.500 rttmin12275.000 e:1.228 eold:0.000 eavg:0.000 tim:1
node:89 rate:10.000 new_rtt12.285 c:-0.866 rttpred:12165.207 rtttarget:11047.500 rttmin12275.000 e:1.238 eold:0.000 eavg:0.000 tim:1
node:89 rate:9.567 new_rtt12.296 c:-0.503 rttpred:12175.147 rtttarget:11047.500 rttmin12275.000 e:1.248 eold:1.238 eavg:0.000 tim:2
node:89 rate:10.000 new_rtt12.307 c:-0.861 rttpred:12165.803 rtttarget:11076.300 rttmin12307.000 e:1.231 eold:0.000 eavg:0.000 tim:1
node:89 rate:9.569 new_rtt12.339 c:-0.515 rttpred:12249.126 rtttarget:11076.300 rttmin12307.000 e:1.263 eold:1.231 eavg:0.000 tim:2
node:89 rate:1.000 new_rtt279.117 c:-89.471 rttpred:110662.815 rtttarget:13316.400 rttmin14796.000 e:265.801 eold:321.965 eavg:0.000 tim:4
node:89 rate:9.312 new_rtt12.388 c:-0.539 rttpred:12312.888 rtttarget:11076.300 rttmin12307.000 e:1.312 eold:1.263 eavg:0.000 tim:3
node:89 rate:9.042 new_rtt12.381 c:-0.520 rttpred:12219.747 rtttarget:11076.300 rttmin12307.000 e:1.305 eold:1.312 eavg:0.000 tim:4
node:89 rate:8.782 new_rtt12.289 c:-0.469 rttpred:12021.300 rtttarget:11060.100 rttmin12289.000 e:1.229 eold:1.305 eavg:0.000 tim:5
node:89 rate:8.548 new_rtt12.371 c:-0.549 rttpred:12354.655 rtttarget:11060.100 rttmin12289.000 e:1.311 eold:1.229 eavg:0.000 tim:6
node:89 rate:8.273 new_rtt12.298 c:-0.473 rttpred:12060.912 rtttarget:11060.100 rttmin12289.000 e:1.238 eold:1.311 eavg:0.000 tim:7
node:89 rate:10.000 new_rtt12.297 c:-0.861 rttpred:12058.508 rtttarget:11067.300 rttmin12297.000 e:1.230 eold:0.000 eavg:0.000 tim:1
node:89 rate:9.570 new_rtt12.301 c:-0.495 rttpred:12189.922 rtttarget:11067.300 rttmin12297.000 e:1.234 eold:1.230 eavg:0.000 tim:2
node:89 rate:10.000 new_rtt12.304 c:-0.861 rttpred:12162.836 rtttarget:11073.600 rttmin12304.000 e:1.230 eold:0.000 eavg:0.000 tim:1
node:89 rate:9.322 new_rtt12.309 c:-0.499 rttpred:12202.359 rtttarget:11067.300 rttmin12297.000 e:1.242 eold:1.234 eavg:0.000 tim:3
node:89 rate:10.000 new_rtt12.329 c:-0.901 rttpred:12275.113 rtttarget:11042.100 rttmin12269.000 e:1.287 eold:0.000 eavg:0.000 tim:1
node:89 rate:9.569 new_rtt12.275 c:-0.490 rttpred:12105.135 rtttarget:11047.500 rttmin12275.000 e:1.228 eold:1.230 eavg:0.000 tim:2
node:89 rate:9.073 new_rtt12.336 c:-0.516 rttpred:12249.471 rtttarget:11067.300 rttmin12297.000 e:1.269 eold:1.242 eavg:0.000 tim:4
node:89 rate:9.550 new_rtt12.377 c:-0.548 rttpred:12292.499 rtttarget:11042.100 rttmin12269.000 e:1.335 eold:1.287 eavg:0.000 tim:2
node:89 rate:9.324 new_rtt12.267 c:-0.490 rttpred:12131.218 rtttarget:11040.300 rttmin12267.000 e:1.227 eold:1.228 eavg:0.000 tim:3
node:89 rate:8.815 new_rtt12.445 c:-0.584 rttpred:12458.595 rtttarget:11067.300 rttmin12297.000 e:1.378 eold:1.269 eavg:0.000 tim:5
node:89 rate:10.000 new_rtt12.282 c:-0.860 rttpred:12135.789 rtttarget:11053.800 rttmin12282.000 e:1.228 eold:0.000 eavg:0.000 tim:1
node:89 rate:9.079 new_rtt12.310 c:-0.521 rttpred:12242.884 rtttarget:11040.300 rttmin12267.000 e:1.270 eold:1.227 eavg:0.000 tim:4
node:89 rate:8.523 new_rtt12.329 c:-0.470 rttpred:12017.424 rtttarget:11067.300 rttmin12297.000 e:1.262 eold:1.378 eavg:0.000 tim:6
node:89 rate:9.570 new_rtt12.283 c:-0.492 rttpred:12153.548 rtttarget:11053.800 rttmin12282.000 e:1.229 eold:1.228 eavg:0.000 tim:2
node:89 rate:8.819 new_rtt12.303 c:-0.503 rttpred:12158.499 rtttarget:11040.300 rttmin12267.000 e:1.263 eold:1.270 eavg:0.000 tim:5
node:89 rate:8.288 new_rtt12.306 c:-0.489 rttpred:12145.621 rtttarget:11067.300 rttmin12297.000 e:1.239 eold:1.262 eavg:0.000 tim:7
node:89 rate:8.567 new_rtt12.390 c:-0.566 rttpred:12369.540 rtttarget:11040.300 rttmin12267.000 e:1.350 eold:1.263 eavg:0.000 tim:6
node:89 rate:8.044 new_rtt12.402 c:-0.564 rttpred:12407.461 rtttarget:11067.300 rttmin12297.000 e:1.335 eold:1.239 eavg:0.148 tim:8
node:89 rate:1.000 new_rtt264.508 c:-96.094 rttpred:141467.694 rtttarget:13316.400 rttmin14796.000 e:251.192 eold:265.801 eavg:0.000 tim:5
node:89 rate:8.284 new_rtt12.294 c:-0.473 rttpred:12012.372 rtttarget:11040.300 rttmin12267.000 e:1.254 eold:1.350 eavg:0.000 tim:7
node:89 rate:7.762 new_rtt12.441 c:0.999 rttpred:12346.829 rtttarget:13297.000 rttmin12297.000 e:-0.856 eold:1.335 eavg:0.048 tim:9
node:89 rate:8.048 new_rtt12.299 c:-0.506 rttpred:12173.903 rtttarget:11040.300 rttmin12267.000 e:1.259 eold:1.254 eavg:0.140 tim:8
node:89 rate:8.261 new_rtt12.284 c:0.444 rttpred:11923.616 rtttarget:13284.000 rttmin12284.000 e:-1.000 eold:-0.856 eavg:-0.047 tim:10
node:89 rate:7.795 new_rtt12.387 c:0.993 rttpred:12374.036 rtttarget:13267.000 rttmin12267.000 e:-0.880 eold:1.259 eavg:0.038 tim:9
node:89 rate:8.483 new_rtt12.422 c:0.305 rttpred:12484.868 rtttarget:13284.000 rttmin12284.000 e:-0.862 eold:-1.000 eavg:-0.115 tim:11
node:89 rate:8.291 new_rtt12.376 c:0.360 rttpred:12209.534 rtttarget:13267.000 rttmin12267.000 e:-0.891 eold:-0.880 eavg:-0.047 tim:10
node:89 rate:10.000 new_rtt12.265 c:-0.859 rttpred:12096.535 rtttarget:11038.500 rttmin12265.000 e:1.226 eold:0.000 eavg:0.000 tim:1
node:89 rate:8.635 new_rtt12.331 c:0.410 rttpred:12064.418 rtttarget:13284.000 rttmin12284.000 e:-0.953 eold:-0.862 eavg:-0.180 tim:12
node:89 rate:8.471 new_rtt12.331 c:0.389 rttpred:12123.582 rtttarget:13267.000 rttmin12267.000 e:-0.936 eold:-0.891 eavg:-0.121 tim:11
node:89 rate:9.571 new_rtt12.339 c:-0.542 rttpred:12309.565 rtttarget:11038.500 rttmin12265.000 e:1.300 eold:1.226 eavg:0.000 tim:2
node:89 rate:8.841 new_rtt12.363 c:0.361 rttpred:12276.807 rtttarget:13284.000 rttmin12284.000 e:-0.921 eold:-0.953 eavg:-0.233 tim:13
node:89 rate:8.666 new_rtt12.336 c:0.373 rttpred:12207.971 rtttarget:13267.000 rttmin12267.000 e:-0.931 eold:-0.936 eavg:-0.183 tim:12
node:89 rate:9.021 new_rtt12.318 c:0.403 rttpred:12126.111 rtttarget:13284.000 rttmin12284.000 e:-0.966 eold:-0.921 eavg:-0.282 tim:14
node:89 rate:8.852 new_rtt12.280 c:0.414 rttpred:12073.008 rtttarget:13267.000 rttmin12267.000 e:-0.987 eold:-0.931 eavg:-0.240 tim:13
node:89 rate:9.222 new_rtt12.367 c:0.355 rttpred:12307.395 rtttarget:13284.000 rttmin12284.000 e:-0.917 eold:-0.966 eavg:-0.321 tim:15
node:89 rate:9.059 new_rtt12.280 c:0.398 rttpred:12158.755 rtttarget:13267.000 rttmin12267.000 e:-0.987 eold:-0.987 eavg:-0.290 tim:14
node:89 rate:9.400 new_rtt12.306 c:0.413 rttpred:12090.490 rtttarget:13284.000 rttmin12284.000 e:-0.978 eold:-0.917 eavg:-0.360 tim:16
node:89 rate:10.000 new_rtt12.278 c:-0.859 rttpred:12123.908 rtttarget:11050.200 rttmin12278.000 e:1.228 eold:0.000 eavg:0.000 tim:1
node:89 rate:9.258 new_rtt12.272 c:0.404 rttpred:12140.158 rtttarget:13267.000 rttmin12267.000 e:-0.995 eold:-0.987 eavg:-0.334 tim:15
node:89 rate:9.607 new_rtt12.326 c:0.381 rttpred:12229.119 rtttarget:13284.000 rttmin12284.000 e:-0.958 eold:-0.978 eavg:-0.393 tim:17
node:89 rate:9.570 new_rtt12.298 c:-0.505 rttpred:12194.860 rtttarget:11050.200 rttmin12278.000 e:1.248 eold:1.228 eavg:0.000 tim:2
node:89 rate:9.460 new_rtt12.406 c:0.308 rttpred:12462.015 rtttarget:13267.000 rttmin12267.000 e:-0.861 eold:-0.995 eavg:-0.365 tim:16
node:89 rate:9.797 new_rtt12.374 c:0.354 rttpred:12310.331 rtttarget:13284.000 rttmin12284.000 e:-0.910 eold:-0.958 eavg:-0.420 tim:18
node:89 rate:9.318 new_rtt12.320 c:-0.515 rttpred:12214.795 rtttarget:11050.200 rttmin12278.000 e:1.270 eold:1.248 eavg:0.000 tim:3
node:89 rate:9.614 new_rtt12.272 c:0.442 rttpred:11939.832 rtttarget:13267.000 rttmin12267.000 e:-0.995 eold:-0.861 eavg:-0.400 tim:17
node:89 rate:9.974 new_rtt12.341 c:0.392 rttpred:12157.065 rtttarget:13284.000 rttmin12284.000 e:-0.943 eold:-0.910 eavg:-0.446 tim:19
node:89 rate:9.835 new_rtt12.318 c:0.370 rttpred:12252.720 rtttarget:13267.000 rttmin12267.000 e:-0.949 eold:-0.995 eavg:-0.429 tim:18
node:89 rate:10.020 new_rtt12.430 c:0.306 rttpred:12446.936 rtttarget:13267.000 rttmin12267.000 e:-0.837 eold:-0.949 eavg:-0.450 tim:19
node:89 rate:10.173 new_rtt12.316 c:0.419 rttpred:12004.591 rtttarget:13267.000 rttmin12267.000 e:-0.951 eold:-0.837 eavg:-0.473 tim:20
node:89 rate:10.383 new_rtt12.272 c:0.416 rttpred:12082.364 rtttarget:13267.000 rttmin12267.000 e:-0.995 eold:-0.951 eavg:-0.497 tim:21
node:89 rate:10.591 new_rtt12.328 c:0.364 rttpred:12283.109 rtttarget:13267.000 rttmin12267.000 e:-0.939 eold:-0.995 eavg:-0.516 tim:22
node:89 rate:10.773 new_rtt12.406 c:0.326 rttpred:12377.071 rtttarget:13267.000 rttmin12267.000 e:-0.861 eold:-0.939 eavg:-0.531 tim:23
node:89 rate:10.936 new_rtt12.299 c:0.425 rttpred:12004.970 rtttarget:13267.000 rttmin12267.000 e:-0.968 eold:-0.861 eavg:-0.548 tim:24
node:89 rate:11.148 new_rtt12.328 c:0.373 rttpred:12238.142 rtttarget:13267.000 rttmin12267.000 e:-0.939 eold:-0.968 eavg:-0.563 tim:25
node:89 rate:11.334 new_rtt12.320 c:0.387 rttpred:12178.388 rtttarget:13267.000 rttmin12267.000 e:-0.947 eold:-0.939 eavg:-0.577 tim:26
node:89 rate:11.528 new_rtt12.352 c:0.362 rttpred:12263.203 rtttarget:13267.000 rttmin12267.000 e:-0.915 eold:-0.947 eavg:-0.589 tim:27
node:89 rate:11.709 new_rtt12.353 c:0.371 rttpred:12215.648 rtttarget:13267.000 rttmin12267.000 e:-0.914 eold:-0.915 eavg:-0.601 tim:28
node:89 rate:1.000 new_rtt267.344 c:-102.462 rttpred:179780.205 rtttarget:13316.400 rttmin14796.000 e:254.028 eold:251.192 eavg:0.000 tim:6
node:89 rate:11.895 new_rtt12.390 c:0.346 rttpred:12299.314 rtttarget:13267.000 rttmin12267.000 e:-0.877 eold:-0.914 eavg:-0.610 tim:29
node:89 rate:12.068 new_rtt12.264 c:0.443 rttpred:11952.834 rtttarget:13264.000 rttmin12264.000 e:-1.000 eold:-0.877 eavg:-0.622 tim:30
node:89 rate:10.000 new_rtt12.274 c:-0.859 rttpred:12133.161 rtttarget:11046.600 rttmin12274.000 e:1.227 eold:0.000 eavg:0.000 tim:1
node:89 rate:12.289 new_rtt12.317 c:0.369 rttpred:12268.998 rtttarget:13264.000 rttmin12264.000 e:-0.947 eold:-1.000 eavg:-0.633 tim:31
node:89 rate:9.570 new_rtt12.302 c:-0.511 rttpred:12207.219 rtttarget:11046.600 rttmin12274.000 e:1.255 eold:1.227 eavg:0.000 tim:2
node:89 rate:12.474 new_rtt12.353 c:0.360 rttpred:12273.842 rtttarget:13264.000 rttmin12264.000 e:-0.911 eold:-0.947 eavg:-0.641 tim:32
