[5087, 100.0, 100.0]
[6664, 100.0, 50.0]
[8241, 50.0, 50.0]
[9818, 50.0, 50.0]
[11395, 50.0, 50.0]
[12972, 50.0, 50.0]
[14549, 50.0, 50.0]
[16126, 50.0, 50.0]
[17703, 50.0, 50.0]
[19280, 50.0, 50.0]
[20857, 50.0, 50.0]
[22434, 50.0, 50.0]
[24011, 50.0, 50.0]
[25588, 50.0, 50.0]
[27165, 50.0, 50.0]
[28742, 50.0, 50.0]
[30319, 50.0, 50.0]
[31896, 50.0, 50.0]
[33473, 50.0, 50.0]
[35050, 50.0, 50.0]
[36627, 50.0, 50.0]
[38204, 50.0, 50.0]
[39781, 50.0, 50.0]
[41358, 50.0, 50.0]
[42935, 50.0, 50.0]
[44512, 50.0, 50.0]
[46089, 50.0, 50.0]
[47666, 50.0, 50.0]
[49243, 50.0, 50.0]
[50820, 50.0, 50.0]
[52397, 50.0, 50.0]
[53974, 50.0, 50.0]
[55551, 50.0, 50.0]
[57128, 50.0, 50.0]
[58705, 50.0, 50.0]
[60282, 50.0, 50.0]
[61859, 50.0, 50.0]
[63436, 50.0, 50.0]
[65013, 50.0, 50.0]
[66590, 50.0, 50.0]
[68167, 50.0, 50.0]
[69744, 50.0, 50.0]
[71321, 50.0, 50.0]
[72898, 50.0, 50.0]
[74475, 50.0, 50.0]
[76052, 50.0, 50.0]
[77629, 50.0, 50.0]
[79206, 50.0, 50.0]
[80783, 50.0, 50.0]
[82360, 50.0, 50.0]
[83937, 50.0, 50.0]
[85514, 50.0, 50.0]
[86320, 50.0, 50.0]
[43160, 50.0, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.644]
[22825, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 27.489]
[23240, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23738, 27.489, 27.489]
[24319, 27.489, 28.104]
[24596, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 28.719]
[24900, 28.719, 29.334]
[24900, 29.334, 29.334]
[24900, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25315, 29.334, 29.334]
[25398, 29.334, 29.334]
[26145, 29.334, 29.949]
[26275, 29.949, 29.949]
[26394, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 29.949]
[26560, 29.949, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 30.564]
[26560, 30.564, 31.179]
[26560, 31.179, 31.179]
[26560, 31.179, 31.179]
[26560, 31.179, 31.179]
[26975, 31.179, 23.307]
[26975, 23.307, 23.307]
[26975, 23.307, 23.307]
[26975, 23.307, 23.307]
[26975, 23.307, 23.307]
[26975, 23.307, 23.307]
[26975, 23.307, 23.307]
[26975, 23.307, 23.307]
[26975, 23.307, 23.307]
[26975, 23.307, 23.307]
[26975, 23.307, 23.307]
[27058, 23.307, 23.307]
[27722, 23.307, 23.307]
[27869, 23.307, 23.307]
[28016, 23.307, 23.307]
[28137, 23.307, 23.307]
[28220, 23.307, 23.307]
[21580, 23.307, 23.307]
[21580, 23.307, 23.307]
[21580, 23.307, 23.307]
[21580, 23.307, 23.307]
[21580, 23.307, 23.307]
[21580, 23.307, 23.307]
[21580, 23.307, 23.307]
[21580, 23.307, 23.307]
[21580, 23.307, 23.922]
