[5004, 100.0, 100.0]
[6581, 100.0, 50.0]
[8158, 50.0, 50.0]
[9735, 50.0, 50.0]
[11312, 50.0, 50.0]
[12889, 50.0, 50.0]
[14466, 50.0, 50.0]
[16043, 50.0, 50.0]
[17620, 50.0, 50.0]
[19197, 50.0, 50.0]
[20774, 50.0, 50.0]
[22351, 50.0, 50.0]
[23928, 50.0, 50.0]
[25505, 50.0, 50.0]
[27082, 50.0, 50.0]
[28659, 50.0, 50.0]
[30236, 50.0, 50.0]
[31813, 50.0, 50.0]
[33390, 50.0, 50.0]
[34967, 50.0, 50.0]
[36544, 50.0, 50.0]
[38121, 50.0, 50.0]
[39698, 50.0, 50.0]
[41275, 50.0, 50.0]
[42852, 50.0, 50.0]
[44429, 50.0, 50.0]
[46006, 50.0, 50.0]
[47583, 50.0, 50.0]
[49160, 50.0, 50.0]
[50737, 50.0, 50.0]
[52314, 50.0, 50.0]
[53891, 50.0, 50.0]
[55468, 50.0, 50.0]
[57045, 50.0, 50.0]
[58622, 50.0, 50.0]
[60199, 50.0, 50.0]
[61776, 50.0, 50.0]
[63353, 50.0, 50.0]
[64930, 50.0, 50.0]
[66507, 50.0, 50.0]
[68084, 50.0, 50.0]
[69661, 50.0, 50.0]
[71238, 50.0, 50.0]
[72815, 50.0, 50.0]
[74392, 50.0, 50.0]
[75969, 50.0, 50.0]
[77546, 50.0, 50.0]
[79123, 50.0, 50.0]
[80700, 50.0, 50.0]
[82277, 50.0, 50.0]
[83854, 50.0, 50.0]
[85431, 50.0, 50.0]
[86320, 50.0, 50.0]
[43160, 50.0, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[43160, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.029]
[22825, 25.029, 25.644]
[22825, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 25.644]
[23240, 25.644, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.259]
[23240, 26.259, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 26.874]
[23240, 26.874, 27.489]
[23240, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23655, 27.489, 27.489]
[23738, 27.489, 27.489]
[24236, 27.489, 28.104]
[24513, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
[24900, 28.104, 28.104]
